S_0,I_0,R_0,Q_0,D_0,Q_entry_0,D_entry_0,S_1,I_1,R_1,Q_1,D_1,Q_entry_1,D_entry_1,S_2,I_2,R_2,Q_2,D_2,Q_entry_2,D_entry_2,S_3,I_3,R_3,Q_3,D_3,Q_entry_3,D_entry_3
0.2167,0.000173816,0,0,0,0,0,0.251688,1.12102e-05,0,0,0,0,0,0.336536,9.43719e-07,0,0,0,0,0,0.194887,2.33801e-06,0,0,0,0,0
0.216611,0.00018216,8.11467e-05,2.45194e-08,0,2.45194e-08,0,0.251678,1.39687e-05,7.12784e-06,7.31701e-09,0,7.31701e-09,0,0.336535,1.33617e-06,5.72123e-07,4.95819e-09,0,4.95819e-09,0,0.194885,3.28258e-06,6.81804e-07,1.44082e-08,0,1.44082e-08,0
0.216517,0.000190865,0.000166201,3.77523e-08,1.94092e-10,2.56964e-08,1.94092e-10,0.251666,1.74056e-05,1.60112e-05,1.48498e-08,2.786e-11,9.11753e-09,2.786e-11,0.336533,1.89183e-06,1.38247e-06,1.16598e-08,1.83228e-11,7.0201e-09,1.83228e-11,0.194883,4.60873e-06,1.63943e-06,3.37194e-08,5.46451e-10,2.02292e-08,5.46451e-10
0.216419,0.000199944,0.000255326,4.54868e-08,4.92933e-10,2.69245e-08,2.98841e-10,0.251651,2.16872e-05,2.70814e-05,2.29943e-08,8.44016e-11,1.13608e-08,5.65415e-11,0.336532,2.67855e-06,2.53008e-06,2.08504e-08,6.14114e-11,9.93945e-09,4.30885e-11,0.19488,6.47062e-06,2.98429e-06,5.99728e-08,1.8253e-09,2.84018e-08,1.27885e-09
0.216316,0.000209408,0.000348694,5.05705e-08,8.53e-10,2.82052e-08,3.60066e-10,0.251632,2.7021e-05,4.08758e-05,3.21695e-08,1.71954e-10,1.41555e-08,8.75524e-11,0.336529,3.79241e-06,4.15519e-06,3.3584e-08,1.38463e-10,1.40728e-08,7.7052e-11,0.194875,9.08461e-06,4.87278e-06,9.60274e-08,4.09985e-09,3.98759e-08,2.27454e-09
0.216208,0.000219269,0.000446482,5.44051e-08,1.25331e-09,2.95403e-08,4.00308e-10,0.251608,3.36648e-05,5.80636e-05,4.28389e-08,2.94442e-10,1.76369e-08,1.22488e-10,0.336525,5.36944e-06,6.45635e-06,5.13518e-08,2.62572e-10,1.99249e-08,1.24109e-10,0.194869,1.27545e-05,7.52449e-06,1.45894e-07,7.74181e-09,5.59849e-08,3.64196e-09
0.216096,0.000229539,0.000548876,5.76816e-08,1.68397e-09,3.09313e-08,4.30663e-10,0.251578,4.19393e-05,7.9478e-05,5.55338e-08,4.57554e-10,2.19734e-08,1.63112e-10,0.336519,7.6022e-06,9.71464e-06,7.6264e-08,4.52341e-10,2.82104e-08,1.89769e-10,0.19486,1.79065e-05,1.12477e-05,2.15199e-07,1.3275e-08,7.86008e-08,5.53321e-09
0.215978,0.000240227,0.000656066,6.07413e-08,2.14057e-09,3.23799e-08,4.56599e-10,0.251541,5.22432e-05,0.000106156,7.08801e-08,6.69003e-10,2.73742e-08,2.11449e-10,0.336512,1.07633e-05,1.4328e-05,1.11307e-07,7.34172e-10,3.99411e-08,2.81831e-10,0.194848,2.51391e-05,1.64751e-05,3.11838e-07,2.14367e-08,1.10351e-07,8.16168e-09
0.215855,0.000251346,0.000768248,6.37535e-08,2.62139e-09,3.38877e-08,4.80819e-10,0.251495,6.50718e-05,0.000139389,8.9628e-08,9.38884e-10,3.40997e-08,2.69881e-10,0.3365,1.52385e-05,2.08599e-05,1.60707e-07,1.1455e-09,5.65489e-08,4.11331e-10,0.19483,3.52918e-05,2.38141e-05,4.46891e-07,3.32635e-08,1.54922e-07,1.18268e-08
0.215726,0.000262907,0.000885622,6.68031e-08,3.12605e-09,3.54563e-08,5.04663e-10,0.251438,8.10401e-05,0.000180783,1.12689e-07,1.28015e-09,4.2473e-08,3.41265e-10,0.336485,2.15739e-05,3.01079e-05,2.30446e-07,1.73939e-09,8.00611e-08,5.93886e-10,0.194805,4.95426e-05,3.41173e-05,6.35906e-07,5.02124e-08,2.1749e-07,1.69489e-08
