S_0,I_0,R_0,Q_0,D_0,Q_entry_0,D_entry_0,S_1,I_1,R_1,Q_1,D_1,Q_entry_1,D_entry_1,S_2,I_2,R_2,Q_2,D_2,Q_entry_2,D_entry_2,S_3,I_3,R_3,Q_3,D_3,Q_entry_3,D_entry_3
0.216708,0.000165782,0,0,0,0,0,0.251689,1.05602e-05,0,0,0,0,0,0.336536,9.36091e-07,0,0,0,0,0,0.194887,2.2895e-06,0,0,0,0,0
0.216618,0.000174892,8.18102e-05,2.42292e-08,0,2.42292e-08,0,0.25168,1.32066e-05,6.79624e-06,7.40852e-09,0,7.40852e-09,0,0.336535,1.32566e-06,5.65508e-07,4.83284e-09,0,4.83284e-09,0,0.194886,3.21872e-06,6.65925e-07,1.45841e-08,0,1.45841e-08,0
0.216522,0.000184463,0.000168128,3.80492e-08,6.64021e-11,2.55606e-08,6.64021e-11,0.251668,1.65157e-05,1.52973e-05,1.49701e-08,3.15941e-11,9.26509e-09,3.15941e-11,0.336533,1.87735e-06,1.36667e-06,1.13413e-08,2.00785e-11,6.8441e-09,2.00785e-11,0.194883,4.52507e-06,1.6025e-06,3.41947e-08,5.19082e-10,2.05033e-08,5.19082e-10
0.216421,0.000194512,0.000259175,4.65713e-08,1.70679e-10,2.69594e-08,1.04277e-10,0.251653,2.06533e-05,2.59297e-05,2.31145e-08,9.5435e-11,1.15866e-08,6.38409e-11,0.336532,2.65862e-06,2.50155e-06,2.0246e-08,6.7197e-11,9.69235e-09,4.71185e-11,0.19488,6.36157e-06,2.91954e-06,6.09262e-08,1.73615e-09,2.88247e-08,1.21707e-09
0.216314,0.00020506,0.000355185,5.24326e-08,2.98312e-10,2.84281e-08,1.27632e-10,0.251634,2.58264e-05,3.92268e-05,3.22889e-08,1.94008e-10,1.44893e-08,9.85732e-11,0.336529,3.765e-06,4.10898e-06,3.25658e-08,1.51311e-10,1.37259e-08,8.41139e-11,0.194876,8.94334e-06,4.77143e-06,9.772e-08,3.90465e-09,4.05233e-08,2.1685e-09
0.216202,0.000216123,0.000456404,5.69952e-08,4.42008e-10,2.99696e-08,1.43696e-10,0.251611,3.22935e-05,5.58552e-05,4.29829e-08,3.31706e-10,1.81185e-08,1.37698e-10,0.336525,5.33178e-06,6.38561e-06,4.97421e-08,2.86609e-10,1.94379e-08,1.35298e-10,0.194869,1.25727e-05,7.3752e-06,1.48707e-07,7.38272e-09,5.69692e-08,3.47807e-09
0.216083,0.000227723,0.000563084,6.09639e-08,5.98208e-10,3.15866e-08,1.562e-10,0.251582,4.03774e-05,7.66481e-05,5.5755e-08,5.1501e-10,2.26555e-08,1.83303e-10,0.33652,7.55051e-06,9.60987e-06,7.38145e-08,4.93267e-10,2.75269e-08,2.06658e-10,0.194861,1.76748e-05,1.10359e-05,2.19693e-07,1.26755e-08,8.00885e-08,5.29283e-09
0.215959,0.000239876,0.00067549,6.47047e-08,7.65284e-10,3.32818e-08,1.67077e-10,0.251546,5.04807e-05,0.000102646,7.12615e-08,7.5278e-10,2.83268e-08,2.37771e-10,0.336512,1.06924e-05,1.41761e-05,1.0767e-07,7.99936e-10,3.89817e-08,3.06669e-10,0.194848,2.48466e-05,1.61824e-05,3.18833e-07,2.04949e-08,1.12588e-07,7.81936e-09
0.215828,0.000252603,0.000793895,6.84092e-08,9.42613e-10,3.50581e-08,1.77329e-10,0.251501,6.31056e-05,0.00013515,9.02904e-08,1.05668e-09,3.54147e-08,3.03899e-10,0.336501,1.51414e-05,2.06425e-05,1.55395e-07,1.24726e-09,5.52025e-08,4.47324e-10,0.194831,3.49275e-05,2.34175e-05,4.57589e-07,3.18429e-08,1.58273e-07,1.1348e-08
0.21569,0.000265921,0.000918582,7.21786e-08,1.13009e-09,3.69181e-08,1.87481e-10,0.251445,7.88777e-05,0.000175784,1.13801e-07,1.44173e-09,4.42717e-08,3.85049e-10,0.336485,2.14411e-05,2.97998e-05,2.22775e-07,1.89286e-09,7.81718e-08,6.45602e-10,0.194806,4.90961e-05,3.35883e-05,6.52067e-07,4.81295e-08,2.22488e-07,1.62866e-08
0.215544,0.000279848,0.00104984,7.60679e-08,1.32791e-09,3.88645e-08,1.97811e-10,0.251374,9.8576e-05,0.000226573,1.4297e-07,1.92704e-09,5.53366e-08,4.8531e-10,0.336463,3.03608e-05,4.27673e-05,3.17999e-07,2.8184e-09,1.10696e-07,9.25538e-10,0.194772,6.90081e-05,4.78851e-05,9.24894e-07,7.1338e-08,3.12743e-07,2.32085e-08
0.215392,0.000294402,0.00118798,8.0108e-08,1.53638e-09,4.09e-08,2.0847e-10,0.251286,0.000123169,0.000290045,1.79252e-07,2.53674e-09,6.9156e-08,6.09705e-10,0.336432,4.29891e-05,6.11294e-05,4.52661e-07,4.13955e-09,1.56746e-07,1.32116e-09,0.194723,9.69873e-05,6.79805e-05,1.30786e-06,1.04257e-07,4.39583e-07,3.29191e-08
0.215231,0.000309599,0.0013333,8.43175e-08,1.75592e-09,4.30271e-08,2.19543e-10,0.251176,0.000153859,0.000369354,2.24444e-07,3.30117e-09,8.64091e-08,7.6443e-10,0.336388,6.08661e-05,8.71294e-05,6.43168e-07,6.02017e-09,2.21944e-07,1.88062e-09,0.194655,0.000136294,9.62238e-05,1.84561e-06,1.50807e-07,6.1781e-07,4.65497e-08
0.215063,0.000325454,0.00148612,8.87083e-08,1.987e-09,4.52481e-08,2.31079e-10,0.251039,0.000192135,0.000468423,2.80775e-07,4.25833e-09,1.07939e-07,9.57154e-10,0.336326,8.6169e-05,0.000123942,9.1274e-07,8.69227e-09,3.14239e-07,2.6721e-09,0.194559,0.000191496,0.000135914,2.60082e-06,2.16496e-07,8.68191e-07,6.56894e-08
0.214885,0.000341983,0.00164677,9.32887e-08,2.23011e-09,4.75654e-08,2.43113e-10,0.250867,0.00023984,0.000592139,3.51006e-07,5.45571e-09,1.34792e-07,1.19738e-09,0.336237,0.000121974,0.000176057,1.29422e-06,1.24843e-08,4.44872e-07,3.79206e-09,0.194425,0.000268991,0.000191679,3.66145e-06,3.09065e-07,1.21983e-06,9.25692e-08
0.214699,0.000359198,0.00181558,9.80653e-08,2.48578e-09,4.99811e-08,2.55666e-10,0.250653,0.000299243,0.000746572,4.38555e-07,6.95259e-09,1.6826e-07,1.49689e-09,0.336112,0.000172625,0.000249828,1.83407e-06,1.78613e-08,6.29727e-07,5.37697e-09,0.194236,0.000377716,0.000270011,5.15079e-06,4.39385e-07,1.71347e-06,1.30319e-07
0.214504,0.00037711,0.00199288,1.03043e-07,2.75453e-09,5.2497e-08,2.68756e-10,0.250387,0.000373132,0.000939255,5.47648e-07,8.82284e-09,2.09934e-07,1.87025e-09,0.335936,0.000244242,0.000354233,2.59792e-06,2.54811e-08,8.91225e-07,7.6198e-09,0.193971,0.00053013,0.000380006,7.24154e-06,6.22713e-07,2.40605e-06,1.83328e-07
0.214299,0.000395729,0.00217903,1.08227e-07,3.03693e-09,5.51149e-08,2.82399e-10,0.250054,0.000464911,0.00117952,6.83493e-07,1.11583e-08,2.6177e-07,2.33548e-09,0.335686,0.00034544,0.000501953,3.67847e-06,3.62744e-08,1.26097e-06,1.07933e-08,0.1936,0.000743539,0.000534385,1.01752e-05,8.80456e-07,3.37693e-06,2.57743e-07
0.214085,0.000415062,0.00237436,1.1362e-07,3.33354e-09,5.7836e-08,2.96605e-10,0.249641,0.000578716,0.00147887,8.52489e-07,1.40731e-08,3.26158e-07,2.9148e-09,0.335332,0.000488305,0.000710879,5.20644e-06,5.15569e-08,1.78344e-06,1.52825e-08,0.193081,0.00104186,0.000750912,1.42887e-05,1.24261e-06,4.73635e-06,3.62158e-07
0.21386,0.000435114,0.00257924,1.19225e-07,3.64492e-09,6.06616e-08,3.11385e-10,0.249127,0.000719528,0.00185151,1.06247e-06,1.77086e-08,4.05998e-07,3.63549e-09,0.334833,0.00068973,0.00100621,7.36588e-06,7.31876e-08,2.52102e-06,2.16306e-08,0.192355,0.00145793,0.00105432,2.00507e-05,1.75118e-06,6.63668e-06,5.08566e-07
