S_0,I_0,R_0,Q_0,D_0,Q_entry_0,D_entry_0,S_1,I_1,R_1,Q_1,D_1,Q_entry_1,D_entry_1,S_2,I_2,R_2,Q_2,D_2,Q_entry_2,D_entry_2,S_3,I_3,R_3,Q_3,D_3,Q_entry_3,D_entry_3
0.216706,0.000168066,0,0,0,0,0,0.251689,1.06134e-05,0,0,0,0,0,0.336536,9.58862e-07,0,0,0,0,0,0.194887,2.38439e-06,0,0,0,0,0
0.216619,0.00018002,7.47164e-05,1.90038e-08,0,1.90038e-08,0,0.25168,1.3181e-05,6.61828e-06,6.44878e-09,0,6.44878e-09,0,0.336535,1.35614e-06,5.80752e-07,4.93966e-09,0,4.93966e-09,0,0.194885,3.34466e-06,6.96533e-07,1.48006e-08,0,1.48006e-08,0
0.216527,0.000192788,0.000154757,2.98738e-08,8.14073e-11,2.03555e-08,8.14073e-11,0.251668,1.63695e-05,1.48394e-05,1.27455e-08,3.44346e-11,8.00894e-09,3.44346e-11,0.336533,1.91801e-06,1.40247e-06,1.15596e-08,1.95977e-11,6.98626e-09,1.95977e-11,0.194883,4.69164e-06,1.67396e-06,3.46316e-08,5.55593e-10,2.07613e-08,5.55593e-10
0.216427,0.000206418,0.000240478,3.67618e-08,2.09379e-10,2.17991e-08,1.27972e-10,0.251654,2.03286e-05,2.50504e-05,1.93078e-08,1.02492e-10,9.94629e-09,6.80573e-11,0.336531,2.71266e-06,2.56495e-06,2.05832e-08,6.54597e-11,9.88077e-09,4.5862e-11,0.19488,6.58105e-06,3.04536e-06,6.15772e-08,1.85561e-09,2.91224e-08,1.30002e-09
0.216321,0.000220963,0.000332263,4.1753e-08,3.66857e-10,2.33403e-08,1.57478e-10,0.251637,2.52443e-05,3.7732e-05,2.65333e-08,2.0559e-10,1.23519e-08,1.03098e-10,0.336529,3.83652e-06,4.20936e-06,3.30314e-08,1.47122e-10,1.39745e-08,8.16624e-11,0.194875,9.23127e-06,4.96939e-06,9.85571e-08,4.16713e-09,4.08505e-08,2.31151e-09
0.216207,0.000236477,0.000430516,4.58976e-08,5.45716e-10,2.4985e-08,1.78859e-10,0.251615,3.13471e-05,5.34808e-05,3.48272e-08,3.4727e-10,1.53387e-08,1.4168e-10,0.336525,5.42598e-06,6.53534e-06,5.03463e-08,2.78172e-10,1.97642e-08,1.3105e-10,0.194869,1.29486e-05,7.66854e-06,1.49663e-07,7.86681e-09,5.73012e-08,3.69969e-09
0.216086,0.000253017,0.000535669,4.97277e-08,7.4233e-10,2.67392e-08,1.96613e-10,0.251588,3.89229e-05,7.30373e-05,4.46272e-08,5.33237e-10,1.90468e-08,1.85967e-10,0.336519,7.67389e-06,9.82521e-06,7.45654e-08,4.77917e-10,2.79524e-08,1.99745e-10,0.19486,1.81626e-05,1.14549e-05,2.20632e-07,1.34849e-08,8.03758e-08,5.61814e-09
0.215955,0.00027064,0.000648176,5.35162e-08,9.55351e-10,2.86094e-08,2.13021e-10,0.251554,4.8326e-05,9.73204e-05,5.64283e-08,7.71533e-10,2.365e-08,2.38296e-10,0.336511,1.08529e-05,1.44783e-05,1.08569e-07,7.7375e-10,3.95327e-08,2.95833e-10,0.194847,2.54754e-05,1.67662e-05,3.19504e-07,2.17671e-08,1.1274e-07,8.28218e-09
0.215816,0.000289406,0.000768519,5.74064e-08,1.1846e-09,3.06021e-08,2.2925e-10,0.251512,5.9995e-05,0.00012747,7.08095e-08,1.07284e-09,2.93633e-08,3.0131e-10,0.3365,1.53487e-05,2.10592e-05,1.56428e-07,1.20449e-09,5.59098e-08,4.30739e-10,0.194829,3.57315e-05,2.42162e-05,4.57554e-07,3.37608e-08,1.58133e-07,1.19937e-08
0.215668,0.000309378,0.000897208,6.14768e-08,1.43051e-09,3.27241e-08,2.45914e-10,0.25146,7.44731e-05,0.0001649,8.84626e-08,1.45095e-09,3.64536e-08,3.78102e-10,0.336484,2.17063e-05,3.03663e-05,2.23899e-07,1.82511e-09,7.90701e-08,6.20617e-10,0.194804,5.01142e-05,3.46657e-05,6.50589e-07,5.09367e-08,2.21796e-07,1.71759e-08
