S_0,I_0,R_0,Q_0,D_0,Q_entry_0,D_entry_0,S_1,I_1,R_1,Q_1,D_1,Q_entry_1,D_entry_1,S_2,I_2,R_2,Q_2,D_2,Q_entry_2,D_entry_2,S_3,I_3,R_3,Q_3,D_3,Q_entry_3,D_entry_3
0.216709,0.000165381,0,0,0,0,0,0.251689,1.005e-05,0,0,0,0,0,0.336536,9.35906e-07,0,0,0,0,0,0.194887,2.28027e-06,0,0,0,0,0
0.216619,0.000175794,7.91402e-05,2.61937e-08,0,2.61937e-08,0,0.251681,1.2503e-05,6.43019e-06,6.88919e-09,0,6.88919e-09,0,0.336535,1.32446e-06,5.65874e-07,5.02496e-09,0,5.02496e-09,0,0.194886,3.20573e-06,6.63589e-07,1.38347e-08,0,1.38347e-08,0
0.216524,0.000186823,0.000163276,4.18192e-08,1.07052e-10,2.7843e-08,1.07052e-10,0.25167,1.55543e-05,1.44316e-05,1.37125e-08,3.97081e-11,8.57069e-09,3.97081e-11,0.336533,1.87432e-06,1.36702e-06,1.17741e-08,1.91243e-11,7.11114e-09,1.91243e-11,0.194883,4.50677e-06,1.59683e-06,3.24461e-08,5.01291e-10,1.94496e-08,5.01291e-10
0.216423,0.0001985,0.000252696,5.19035e-08,2.77965e-10,2.95898e-08,1.70913e-10,0.251656,1.93497e-05,2.43869e-05,2.08968e-08,1.18745e-10,1.06624e-08,7.90366e-11,0.336532,2.65245e-06,2.50109e-06,2.09894e-08,6.3935e-11,1.00634e-08,4.48107e-11,0.19488,6.33581e-06,2.90915e-06,5.78235e-08,1.67695e-09,2.73432e-08,1.17566e-09
0.216316,0.000210857,0.000347709,5.91336e-08,4.90091e-10,3.14393e-08,2.12126e-10,0.251639,2.40703e-05,3.67724e-05,2.88607e-08,2.39191e-10,1.32641e-08,1.20446e-10,0.336529,3.75361e-06,4.10627e-06,3.37188e-08,1.43818e-10,1.42413e-08,7.98827e-11,0.194876,8.90706e-06,4.75436e-06,9.27603e-08,3.77214e-09,3.84402e-08,2.09519e-09
0.216202,0.000223926,0.000448638,6.49485e-08,7.31767e-10,3.33963e-08,2.41676e-10,0.251617,2.9941e-05,5.21802e-05,3.80404e-08,4.05538e-10,1.65e-08,1.66348e-10,0.336525,5.31189e-06,6.3781e-06,5.14435e-08,2.72147e-10,2.01535e-08,1.28329e-10,0.194869,1.25217e-05,7.34869e-06,1.41181e-07,7.13325e-09,5.40403e-08,3.3611e-09
0.216081,0.000237741,0.000555824,7.01211e-08,9.97207e-10,3.54663e-08,2.65441e-10,0.251591,3.72414e-05,7.13465e-05,4.89162e-08,6.24797e-10,2.05243e-08,2.19259e-10,0.33652,7.51701e-06,9.59333e-06,7.6258e-08,4.67933e-10,2.852e-08,1.95786e-10,0.194861,1.76028e-05,1.09961e-05,2.08597e-07,1.22488e-08,7.59706e-08,5.11558e-09
0.215952,0.000252337,0.000669624,7.50693e-08,1.28379e-09,3.76544e-08,2.86581e-10,0.251558,4.63183e-05,9.51864e-05,6.20378e-08,9.06742e-10,2.55286e-08,2.81945e-10,0.336512,1.06374e-05,1.41435e-05,1.11125e-07,7.5816e-10,4.03595e-08,2.90227e-10,0.194848,2.47454e-05,1.61238e-05,3.02758e-07,1.98072e-08,1.06799e-07,7.55838e-09
0.215816,0.000267748,0.00079041,8.00212e-08,1.59059e-09,3.99662e-08,3.06804e-10,0.251517,5.76022e-05,0.000124837,7.80534e-08,1.26432e-09,3.17508e-08,3.57575e-10,0.336501,1.50529e-05,2.05828e-05,1.60233e-07,1.18108e-09,5.71132e-08,4.22924e-10,0.194831,3.47849e-05,2.33324e-05,4.34548e-07,3.07774e-08,1.50133e-07,1.09702e-08
0.215672,0.000284009,0.000918574,8.51043e-08,1.91763e-09,4.2407e-08,3.27042e-10,0.251466,7.16268e-05,0.000161712,9.77419e-08,1.7142e-09,3.94858e-08,4.49887e-10,0.336486,2.13007e-05,2.96951e-05,2.29512e-07,1.79091e-09,8.08203e-08,6.09825e-10,0.194806,4.88955e-05,3.34659e-05,6.19264e-07,4.65229e-08,2.11045e-07,1.57455e-08
0.215518,0.000301155,0.00105452,9.0392e-08,2.26545e-09,4.49825e-08,3.47816e-10,0.251403,8.90531e-05,0.000207564,1.2205e-07,2.27757e-09,4.90995e-08,5.63367e-10,0.336464,3.01406e-05,4.25897e-05,3.27345e-07,2.6644e-09,1.14365e-07,8.73489e-10,0.194772,6.87257e-05,4.77102e-05,8.784e-07,6.89616e-08,2.96655e-07,2.24386e-08
0.215356,0.000319221,0.00119868,9.5929e-08,2.63488e-09,4.76982e-08,3.69426e-10,0.251324,0.000110699,0.000264572,1.52139e-07,2.98105e-09,6.10451e-08,7.03477e-10,0.336433,4.26473e-05,6.08359e-05,4.65594e-07,3.91023e-09,1.61828e-07,1.24583e-09,0.194724,9.65898e-05,6.77316e-05,1.24215e-06,1.0079e-07,4.16968e-07,3.18282e-08
