S_0,I_0,R_0,Q_0,D_0,Q_entry_0,D_entry_0,S_1,I_1,R_1,Q_1,D_1,Q_entry_1,D_entry_1,S_2,I_2,R_2,Q_2,D_2,Q_entry_2,D_entry_2,S_3,I_3,R_3,Q_3,D_3,Q_entry_3,D_entry_3
0.216721,0.000153139,0,0,0,0,0,0.251696,3.72707e-06,0,0,0,0,0,0.336536,7.99533e-07,0,0,0,0,0,0.194887,2.27795e-06,0,0,0,0,0
0.216641,0.000164046,6.91456e-05,1.8931e-08,0,1.8931e-08,0,0.251692,4.88486e-06,2.3271e-06,2.761e-09,0,2.761e-09,0,0.336535,1.14202e-06,4.8026e-07,4.30364e-09,0,4.30364e-09,0,0.194886,3.19531e-06,6.93553e-07,1.45841e-08,0,1.45841e-08,0
0.216555,0.000175699,0.000143225,3.06258e-08,1.15665e-10,2.02794e-08,1.15665e-10,0.251688,6.40226e-06,5.37796e-06,5.50626e-09,1.02165e-11,3.6187e-09,1.02165e-11,0.336534,1.6312e-06,1.16652e-06,1.01558e-08,1.62597e-11,6.14713e-09,1.62597e-11,0.194883,4.48208e-06,1.66677e-06,3.41616e-08,5.24548e-10,2.04573e-08,5.24548e-10
0.216463,0.000188143,0.00022257,3.84579e-08,3.02784e-10,2.17199e-08,1.87119e-10,0.251682,8.39091e-06,9.37711e-06,8.50715e-09,3.05912e-11,4.74279e-09,2.03747e-11,0.336532,2.32992e-06,2.147e-06,1.824e-08,5.46295e-11,8.78027e-09,3.83699e-11,0.19488,6.28702e-06,3.03223e-06,6.07962e-08,1.75324e-09,2.86957e-08,1.22869e-09
0.216365,0.000201427,0.000307539,4.42768e-08,5.37756e-10,2.32582e-08,2.34972e-10,0.251674,1.09971e-05,1.46189e-05,1.20319e-08,6.20701e-11,6.21597e-09,3.14789e-11,0.33653,3.32793e-06,3.54771e-06,2.95312e-08,1.23543e-10,1.25413e-08,6.8913e-11,0.194876,8.81873e-06,4.94789e-06,9.73797e-08,3.9399e-09,4.02514e-08,2.18666e-09
0.21626,0.000215601,0.000398507,4.90992e-08,8.08281e-10,2.49004e-08,2.70525e-10,0.251664,1.44124e-05,2.14889e-05,1.63722e-08,1.06591e-10,8.14661e-09,4.45214e-11,0.336526,4.7534e-06,5.54863e-06,4.54204e-08,2.35115e-10,1.79132e-08,1.11572e-10,0.194869,1.23698e-05,7.63525e-06,1.47965e-07,7.44237e-09,5.64602e-08,3.50246e-09
0.216148,0.000230718,0.000495878,5.3487e-08,1.10827e-09,2.66526e-08,2.99989e-10,0.25165,1.88878e-05,3.04928e-05,2.18696e-08,1.67173e-10,1.06767e-08,6.05819e-11,0.336521,6.7894e-06,8.40683e-06,6.78935e-08,4.06718e-10,2.55861e-08,1.71604e-10,0.19486,1.73505e-05,1.1405e-05,2.18233e-07,1.27642e-08,7.91951e-08,5.32187e-09
0.216027,0.000246832,0.000600076,5.77538e-08,1.43507e-09,2.85213e-08,3.26797e-10,0.251632,2.4752e-05,4.22928e-05,2.89432e-08,2.48097e-10,1.3992e-08,8.09235e-11,0.336514,9.69737e-06,1.24895e-05,9.97855e-08,6.63228e-10,3.65453e-08,2.5651e-10,0.194848,2.4336e-05,1.66929e-05,3.1615e-07,2.06134e-08,1.11083e-07,7.84921e-09
0.215899,0.000264,0.000711553,6.20778e-08,1.78793e-09,3.05133e-08,3.52867e-10,0.251609,3.24353e-05,5.77564e-05,3.81233e-08,3.55195e-10,1.83362e-08,1.07098e-10,0.336504,1.38506e-05,1.83209e-05,1.45144e-07,1.04023e-09,5.2198e-08,3.77002e-10,0.194831,3.4133e-05,2.41101e-05,4.52883e-07,3.19844e-08,1.55807e-07,1.1371e-08
0.215761,0.00028228,0.000830782,6.65632e-08,2.16722e-09,3.26356e-08,3.79286e-10,0.251579,4.25007e-05,7.80202e-05,5.00911e-08,4.96262e-10,2.4028e-08,1.41067e-10,0.33649,1.97823e-05,2.665e-05,2.0975e-07,1.5886e-09,7.45539e-08,5.48373e-10,0.194806,4.78718e-05,3.45134e-05,6.4409e-07,4.82733e-08,2.1853e-07,1.62889e-08
0.215614,0.000301732,0.000958268,7.12745e-08,2.57391e-09,3.48954e-08,4.06691e-10,0.251539,5.56849e-05,0.000104572,6.57293e-08,6.81613e-10,3.14845e-08,1.85351e-10,0.33647,2.82533e-05,3.85464e-05,3.01857e-07,2.38106e-09,1.06482e-07,7.92462e-10,0.194772,6.71363e-05,4.91043e-05,9.11721e-07,7.14393e-08,3.0649e-07,2.3166e-08
0.215457,0.000322418,0.00109454,7.6254e-08,3.00939e-09,3.73e-08,4.35476e-10,0.251487,7.29508e-05,0.000139361,8.61872e-08,9.2483e-10,4.12513e-08,2.43217e-10,0.33644,4.035e-05,5.5537e-05,4.33247e-07,3.52152e-09,1.52079e-07,1.14045e-09,0.194724,9.41448e-05,6.95672e-05,1.28654e-06,1.04231e-07,4.29827e-07,3.2792e-08
0.21529,0.000344399,0.00124015,8.15326e-08,3.47529e-09,3.98572e-08,4.659e-10,0.251419,9.5556e-05,0.000184937,1.12964e-07,1.24375e-09,5.40418e-08,3.18917e-10,0.336399,5.76223e-05,7.98024e-05,6.20745e-07,5.15837e-09,2.17192e-07,1.63686e-09,0.194657,0.000132002,9.82622e-05,1.81167e-06,1.50504e-07,6.02744e-07,4.62732e-08
0.215111,0.00036774,0.00139569,8.71349e-08,3.97344e-09,4.25745e-08,4.98152e-10,0.25133,0.000125142,0.000244635,1.48016e-07,1.66174e-09,7.07877e-08,4.17998e-10,0.336339,8.22807e-05,0.000114455,8.88364e-07,7.50362e-09,3.10163e-07,2.34525e-09,0.194563,0.00018505,0.000138496,2.54749e-06,2.15665e-07,8.45118e-07,6.51604e-08
0.21492,0.000392504,0.00156177,9.30822e-08,4.50582e-09,4.54599e-08,5.32381e-10,0.251213,0.000163846,0.000322817,1.93896e-07,2.20944e-09,9.27048e-08,5.477e-10,0.336254,0.000117476,0.000163937,1.27037e-06,1.086e-08,4.42893e-07,3.35635e-09,0.194431,0.000259353,0.0001949,3.57854e-06,3.07291e-07,1.18475e-06,9.16257e-08
0.214716,0.000418756,0.00173904,9.93939e-08,5.07454e-09,4.85213e-08,5.68718e-10,0.25106,0.00021445,0.00042518,2.53934e-07,2.92691e-09,1.21377e-07,7.1747e-10,0.336133,0.000167696,0.000234584,1.81564e-06,1.56596e-08,6.3234e-07,4.79961e-09,0.194247,0.000363365,0.00027395,5.0231e-06,4.36e-07,1.66046e-06,1.2871e-07
0.214499,0.000446557,0.00192816,1.06089e-07,5.68182e-09,5.17664e-08,6.07282e-10,0.250859,0.000280561,0.000559157,3.32467e-07,3.86654e-09,1.58864e-07,9.39628e-10,0.335959,0.000239321,0.000335433,2.59386e-06,2.25193e-08,9.02657e-07,6.85971e-09,0.193988,0.000508845,0.000384704,7.04643e-06,6.16666e-07,2.32637e-06,1.80666e-07
0.214268,0.00047597,0.00212984,1.13184e-07,6.33001e-09,5.52032e-08,6.48186e-10,0.250598,0.000366843,0.000734437,4.3513e-07,5.09676e-09,2.07839e-07,1.23022e-09,0.335712,0.000341412,0.000479355,3.70427e-06,3.23192e-08,1.2882e-06,9.7999e-09,0.193627,0.00071209,0.000539801,9.87909e-06,8.70106e-07,3.25778e-06,2.53439e-07
0.214022,0.000507055,0.0023448,1.20698e-07,7.02154e-09,5.88392e-08,6.91539e-10,0.250256,0.000479304,0.000963621,5.69235e-07,6.70687e-09,2.71757e-07,1.6101e-09,0.33536,0.000486793,0.000684673,5.28811e-06,4.63144e-08,1.83772e-06,1.39952e-08,0.193122,0.000995572,0.000756848,1.38421e-05,1.22543e-06,4.55901e-06,3.55322e-07
0.21376,0.000539869,0.0025738,1.28648e-07,7.75899e-09,6.2682e-08,7.37449e-10,0.24981,0.000625633,0.00126307,7.44226e-07,8.81319e-09,3.55068e-07,2.10633e-09,0.334858,0.000693553,0.00097742,7.54593e-06,6.62935e-08,2.62026e-06,1.99791e-08,0.192418,0.00139007,0.0010603,1.93809e-05,1.72329e-06,6.37395e-06,4.97859e-07
0.213482,0.000574466,0.00281762,1.37049e-07,8.54501e-09,6.67385e-08,7.86019e-10,0.249229,0.000815596,0.00165393,9.72259e-07,1.1567e-08,4.63467e-07,2.75384e-09,0.334144,0.000987062,0.00139451,1.07619e-05,9.48029e-08,3.73319e-06,2.85094e-08,0.191439,0.0019373,0.001484,2.71113e-05,2.42036e-06,8.89964e-06,6.97076e-07
0.213186,0.000610894,0.00307707,1.45917e-07,9.38236e-09,7.10153e-08,8.37349e-10,0.248473,0.00106148,0.00216347,1.26888e-06,1.51647e-08,6.04192e-07,3.59763e-09,0.333131,0.00140262,0.00198811,1.53374e-05,1.35463e-07,5.31306e-06,4.06599e-08,0.190081,0.00269302,0.0020745,3.78788e-05,3.39548e-06,1.24032e-05,9.75114e-07
0.212912,0.000608692,0.00335297,1.55267e-07,1.02739e-08,7.55185e-08,8.91533e-10,0.247806,0.00106486,0.00282663,1.65381e-06,1.98599e-08,7.86341e-07,4.69521e-09,0.332292,0.00139112,0.00283162,2.18361e-05,1.93409e-07,7.54988e-06,5.79465e-08,0.189313,0.00262367,0.00289535,5.28351e-05,4.75787e-06,1.72415e-05,1.36239e-06
0.21264,0.000606148,0.00362787,1.60105e-07,1.12226e-08,7.52464e-08,9.4866e-10,0.247139,0.00106646,0.00349202,1.91948e-06,2.59794e-08,7.88847e-07,6.11957e-09,0.331462,0.00137762,0.00366865,2.78275e-05,2.75909e-07,7.48799e-06,8.24993e-08,0.188568,0.00255308,0.00369545,6.6445e-05,6.65819e-06,1.67975e-05,1.90032e-06
0.212369,0.000603268,0.00390164,1.62435e-07,1.22008e-08,7.49319e-08,9.7822e-10,0.246473,0.00106626,0.0041585,2.10228e-06,3.30821e-08,7.9003e-07,7.10261e-09,0.330643,0.00136221,0.00449796,3.33356e-05,3.81044e-07,7.41534e-06,1.05135e-07,0.187846,0.00248154,0.00447439,7.87819e-05,9.04802e-06,1.63456e-05,2.38983e-06
0.2121,0.000600058,0.0041741,1.63352e-07,1.31932e-08,7.45758e-08,9.92453e-10,0.245808,0.00106426,0.0048249,2.22711e-06,4.08611e-08,7.89882e-07,7.77904e-09,0.329835,0.00134496,0.00531836,3.83831e-05,5.0699e-07,7.33235e-06,1.25946e-07,0.187147,0.00240931,0.00523185,8.99165e-05,1.18816e-05,1.58876e-05,2.83355e-06
0.211832,0.000596525,0.00444511,1.63457e-07,1.41913e-08,7.41789e-08,9.98057e-10,0.245147,0.00106048,0.0054901,2.31097e-06,4.9102e-08,7.88403e-07,8.24094e-09,0.329038,0.00132598,0.00612873,4.29919e-05,6.52006e-07,7.23951e-06,1.45016e-07,0.18647,0.00233666,0.00596759,9.99169e-05,1.51156e-05,1.54252e-05,3.23403e-06
0.211567,0.000592678,0.00471453,1.63077e-07,1.519e-08,7.37422e-08,9.98695e-10,0.244489,0.00105494,0.00615296,2.3655e-06,5.76533e-08,7.85602e-07,8.55125e-09,0.328255,0.00130537,0.006928,4.71827e-05,8.14434e-07,7.13734e-06,1.62429e-07,0.185817,0.00226383,0.00668145,0.000108849,1.87093e-05,1.496e-05,3.59372e-06
0.211303,0.000588525,0.00498221,1.62394e-07,1.61864e-08,7.32666e-08,9.96375e-10,0.243837,0.00104767,0.00681238,2.39868e-06,6.64063e-08,7.81497e-07,8.75302e-09,0.327486,0.00128325,0.00771516,5.09753e-05,9.92696e-07,7.02641e-06,1.78262e-07,0.185186,0.00219106,0.00737336,0.000116776,2.26243e-05,1.44938e-05,3.91497e-06
0.211042,0.000584075,0.00524801,1.61507e-07,1.71786e-08,7.27532e-08,9.92202e-10,0.243191,0.00103873,0.00746727,2.41597e-06,7.52821e-08,7.76114e-07,8.87578e-09,0.326732,0.00125973,0.00848928,5.43889e-05,1.18529e-06,6.90733e-06,1.92591e-07,0.184577,0.00211854,0.00804331,0.000123758,2.68244e-05,1.40278e-05,4.20008e-06
0.210783,0.000579337,0.00551181,1.60472e-07,1.81653e-08,7.22031e-08,9.86784e-10,0.242552,0.00102816,0.00811659,2.42117e-06,8.42219e-08,7.69488e-07,8.93978e-09,0.325993,0.00123494,0.00924949,5.74419e-05,1.39077e-06,6.78074e-06,2.05488e-07,0.183991,0.0020465,0.00869134,0.000129855,3.12756e-05,1.35636e-05,4.45122e-06
0.210526,0.000574323,0.00577346,1.59321e-07,1.91458e-08,7.16175e-08,9.80462e-10,0.241922,0.00101605,0.00875931,2.4169e-06,9.31809e-08,7.61662e-07,8.95902e-09,0.325271,0.001209,0.009995,6.01522e-05,1.6078e-06,6.64729e-06,2.17022e-07,0.183426,0.0019751,0.00931759,0.000135123,3.59461e-05,1.31023e-05,4.67052e-06
0.210272,0.000569043,0.00603285,1.58072e-07,2.01192e-08,7.09977e-08,9.73428e-10,0.2413,0.00100245,0.00939446,2.405e-06,1.02124e-07,7.52685e-07,8.94321e-09,0.324565,0.00118203,0.0107251,6.25372e-05,1.83506e-06,6.50766e-06,2.27262e-07,0.182882,0.00190452,0.00992223,0.000139616,4.08061e-05,1.26452e-05,4.85999e-06
0.210021,0.000563507,0.00628986,1.56737e-07,2.1085e-08,7.03449e-08,9.65797e-10,0.240688,0.000987462,0.0100211,2.3868e-06,1.11023e-07,7.42614e-07,8.89919e-09,0.323877,0.00115417,0.0114392,6.46135e-05,2.07133e-06,6.36252e-06,2.36273e-07,0.18236,0.00183491,0.0105055,0.000143386,4.58277e-05,1.21933e-05,5.02159e-06
0.209772,0.000557727,0.00654437,1.55323e-07,2.20427e-08,6.96605e-08,9.57638e-10,0.240087,0.00097117,0.0106384,2.36325e-06,1.19855e-07,7.3151e-07,8.83182e-09,0.323206,0.00112554,0.0121366,6.63976e-05,2.31545e-06,6.21256e-06,2.44118e-07,0.181858,0.00176641,0.0110676,0.000146484,5.09849e-05,1.17477e-05,5.15719e-06
0.209526,0.000551715,0.00679626,1.53835e-07,2.29917e-08,6.8946e-08,9.48998e-10,0.239498,0.000953671,0.0112455,2.33508e-06,1.286e-07,7.19441e-07,8.74469e-09,0.322553,0.00109627,0.012817,6.79053e-05,2.56631e-06,6.05846e-06,2.50858e-07,0.181376,0.00169913,0.011609,0.000148955,5.62535e-05,1.13091e-05,5.26858e-06
0.209283,0.000545482,0.00704544,1.52279e-07,2.39316e-08,6.82028e-08,9.3991e-10,0.23892,0.000935066,0.0118417,2.30286e-06,1.3724e-07,7.06478e-07,8.64045e-09,0.321918,0.00106647,0.0134799,6.9152e-05,2.82286e-06,5.90088e-06,2.56554e-07,0.180914,0.00163319,0.01213,0.000150847,6.1611e-05,1.08784e-05,5.35748e-06
0.209043,0.000539042,0.00729181,1.50658e-07,2.4862e-08,6.74324e-08,9.30402e-10,0.238355,0.000915458,0.0124263,2.26705e-06,1.45761e-07,6.92695e-07,8.52123e-09,0.321302,0.00103627,0.014125,7.0153e-05,3.08413e-06,5.74049e-06,2.61265e-07,0.180471,0.00156868,0.0126309,0.000152202,6.70365e-05,1.04562e-05,5.42552e-06
0.208806,0.000532406,0.00753527,1.48976e-07,2.57825e-08,6.66362e-08,9.20498e-10,0.237804,0.000894953,0.0129986,2.22804e-06,1.5415e-07,6.78169e-07,8.38872e-09,0.320705,0.00100577,0.014752,7.09227e-05,3.34917e-06,5.57792e-06,2.65046e-07,0.180046,0.00150567,0.0131122,0.000153063,7.25107e-05,1.00431e-05,5.47427e-06
0.208573,0.000525586,0.00777573,1.47236e-07,2.66927e-08,6.58158e-08,9.10221e-10,0.237265,0.000873659,0.013558,2.18618e-06,1.62395e-07,6.62979e-07,8.24438e-09,0.320126,0.000975101,0.0153608,7.14756e-05,3.61713e-06,5.41379e-06,2.67955e-07,0.179639,0.00144423,0.0135744,0.000153468,7.8016e-05,9.63973e-06,5.50523e-06
0.208342,0.000518596,0.0080131,1.45443e-07,2.75923e-08,6.49728e-08,8.99592e-10,0.236741,0.000851683,0.0141042,2.14179e-06,1.70484e-07,6.47205e-07,8.08949e-09,0.319566,0.000944349,0.0159511,7.18255e-05,3.88717e-06,5.24868e-06,2.70043e-07,0.17925,0.00138442,0.0140178,0.000153456,8.35358e-05,9.24639e-06,5.5198e-06
0.208115,0.000511447,0.00824733,1.43598e-07,2.84809e-08,6.41086e-08,8.88632e-10,0.236231,0.00082913,0.0146367,2.09517e-06,1.78409e-07,6.30925e-07,7.92524e-09,0.319024,0.000913618,0.016523,7.19858e-05,4.15854e-06,5.08315e-06,2.71365e-07,0.178878,0.00132628,0.0144431,0.000153061,8.90551e-05,8.86347e-06,5.51935e-06
0.207892,0.000504153,0.00847832,1.41706e-07,2.93583e-08,6.32249e-08,8.77362e-10,0.235736,0.000806106,0.015155,2.04658e-06,1.86162e-07,6.14218e-07,7.7527e-09,0.318501,0.000882999,0.0170765,7.19698e-05,4.43051e-06,4.91773e-06,2.71971e-07,0.178522,0.00126983,0.0148506,0.000152318,9.45603e-05,8.49122e-06,5.50516e-06
0.207671,0.000496726,0.00870602,1.39771e-07,3.02241e-08,6.23233e-08,8.65804e-10,0.235256,0.000782712,0.015659,1.99631e-06,1.93735e-07,5.97162e-07,7.57293e-09,0.317996,0.000852577,0.0176115,7.179e-05,4.70242e-06,4.75292e-06,2.7191e-07,0.178182,0.00121512,0.0152409,0.000151258,0.000100039,8.12987e-06,5.47843e-06
0.207455,0.000489179,0.00893037,1.37795e-07,3.10781e-08,6.14051e-08,8.53977e-10,0.23479,0.000759045,0.0161483,1.94461e-06,2.01122e-07,5.79831e-07,7.38691e-09,0.31751,0.000822431,0.0181283,7.14588e-05,4.97365e-06,4.58917e-06,2.71231e-07,0.177857,0.00116214,0.0156146,0.000149912,0.000105479,7.77955e-06,5.44032e-06
0.207241,0.000481523,0.0091513,1.35782e-07,3.192e-08,6.04721e-08,8.41904e-10,0.234339,0.000735201,0.0166228,1.89174e-06,2.08317e-07,5.62299e-07,7.19562e-09,0.317041,0.000792632,0.0186269,7.09881e-05,5.24363e-06,4.4269e-06,2.6998e-07,0.177547,0.0011109,0.0159721,0.000148308,0.000110871,7.44037e-06,5.39191e-06
0.207032,0.000473771,0.00936878,1.33735e-07,3.27496e-08,5.95257e-08,8.29605e-10,0.233904,0.000711268,0.0170825,1.83793e-06,2.15317e-07,5.44635e-07,6.99996e-09,0.31659,0.000763247,0.0191076,7.03892e-05,5.51183e-06,4.2665e-06,2.68201e-07,0.177251,0.00106141,0.0163139,0.000146473,0.000116205,7.11235e-06,5.33422e-06
0.206825,0.000465936,0.00958276,1.31658e-07,3.35667e-08,5.85675e-08,8.17101e-10,0.233483,0.00068733,0.0175271,1.78341e-06,2.22118e-07,5.26906e-07,6.80084e-09,0.316156,0.000734333,0.0195707,6.96732e-05,5.77777e-06,4.10833e-06,2.65939e-07,0.176969,0.00101365,0.0166406,0.000144432,0.000121473,6.79548e-06,5.26821e-06
0.206623,0.000458028,0.0097932,1.29555e-07,3.43711e-08,5.75988e-08,8.04412e-10,0.233077,0.000663467,0.0179569,1.7284e-06,2.28717e-07,5.09173e-07,6.59911e-09,0.31574,0.000705943,0.0200163,6.88506e-05,6.041e-06,3.9527e-06,2.63234e-07,0.1767,0.000967613,0.0169528,0.000142208,0.000126668,6.48971e-06,5.19478e-06
0.206424,0.000450059,0.0100001,1.27427e-07,3.51626e-08,5.66212e-08,7.91559e-10,0.232686,0.000639751,0.0183716,1.67312e-06,2.35113e-07,4.91495e-07,6.39557e-09,0.31534,0.000678123,0.0204448,6.79316e-05,6.30113e-06,3.79988e-06,2.60126e-07,0.176444,0.000923275,0.0172508,0.000139823,0.000131783,6.19495e-06,5.11479e-06
