S_0,I_0,R_0,Q_0,D_0,Q_entry_0,D_entry_0,S_1,I_1,R_1,Q_1,D_1,Q_entry_1,D_entry_1,S_2,I_2,R_2,Q_2,D_2,Q_entry_2,D_entry_2,S_3,I_3,R_3,Q_3,D_3,Q_entry_3,D_entry_3
0.216713,0.000161138,0,0,0,0,0,0.251688,1.12312e-05,0,0,0,0,0,0.336536,9.53276e-07,0,0,0,0,0,0.194887,2.35938e-06,0,0,0,0,0
0.216628,0.00017095,7.50461e-05,2.15827e-08,0,2.15827e-08,0,0.251678,1.39726e-05,7.07334e-06,6.64001e-09,0,6.64001e-09,0,0.336535,1.34946e-06,5.7945e-07,5.11162e-09,0,5.11162e-09,0,0.194885,3.31121e-06,6.88032e-07,1.49183e-08,0,1.49183e-08,0
0.216538,0.000181325,0.000154672,3.48915e-08,7.97494e-11,2.2897e-08,7.97494e-11,0.251666,1.73826e-05,1.58749e-05,1.31669e-08,2.07163e-11,8.26074e-09,2.07163e-11,0.336533,1.91029e-06,1.40003e-06,1.20148e-08,1.80476e-11,7.23601e-09,1.80476e-11,0.194883,4.64701e-06,1.65401e-06,3.494e-08,5.325e-10,2.09366e-08,5.325e-10
0.216443,0.00019229,0.000239135,4.36774e-08,2.08676e-10,2.42866e-08,1.28926e-10,0.251651,2.16241e-05,2.68258e-05,2.00056e-08,6.17961e-11,1.02768e-08,4.10798e-11,0.336531,2.70419e-06,2.56194e-06,2.14758e-08,6.04682e-11,1.02433e-08,4.24206e-11,0.19488,6.52164e-06,3.01005e-06,6.21799e-08,1.77966e-09,2.93828e-08,1.24716e-09
0.216342,0.000203873,0.000328709,5.00288e-08,3.70066e-10,2.57552e-08,1.61391e-10,0.251632,2.68995e-05,4.04497e-05,2.75662e-08,1.24212e-10,1.27844e-08,6.24159e-11,0.336529,3.82802e-06,4.20701e-06,3.45778e-08,1.36293e-10,1.45003e-08,7.58245e-11,0.194875,9.15244e-06,4.91345e-06,9.96025e-08,3.99914e-09,4.1236e-08,2.21948e-09
0.216234,0.000216104,0.00042368,5.511e-08,5.54926e-10,2.73067e-08,1.84859e-10,0.251609,3.346e-05,5.73979e-05,3.62715e-08,2.10216e-10,1.59033e-08,8.60045e-11,0.336525,5.41887e-06,6.53601e-06,5.28528e-08,2.58376e-10,2.05265e-08,1.22084e-10,0.194869,1.28443e-05,7.58499e-06,1.51364e-07,7.5544e-09,5.78705e-08,3.55526e-09
0.216121,0.000229012,0.00052435,5.95721e-08,7.58561e-10,2.89449e-08,2.03635e-10,0.251579,4.16179e-05,7.84802e-05,4.65823e-08,3.23381e-10,1.97819e-08,1.13164e-10,0.336519,7.67077e-06,9.83313e-06,7.84684e-08,4.44984e-10,2.90568e-08,1.86607e-10,0.19486,1.80252e-05,1.13345e-05,2.23296e-07,1.29573e-08,8.12142e-08,5.40287e-09
0.216001,0.000242628,0.000631033,6.37808e-08,9.78683e-10,3.06738e-08,2.20122e-10,0.251543,5.17605e-05,0.000104703,5.90238e-08,4.68714e-10,2.46049e-08,1.45333e-10,0.336511,1.08584e-05,1.45006e-05,1.14491e-07,7.22032e-10,4.11319e-08,2.77048e-10,0.194847,2.52952e-05,1.65966e-05,3.23573e-07,2.09277e-08,1.13972e-07,7.97042e-09
0.215873,0.000256983,0.00074406,6.79435e-08,1.21436e-09,3.24975e-08,2.35674e-10,0.251498,6.43683e-05,0.000137317,7.4213e-08,6.52863e-10,3.06014e-08,1.8415e-10,0.3365,1.53703e-05,2.1108e-05,1.65261e-07,1.12627e-09,5.82242e-08,4.04233e-10,0.194829,3.54962e-05,2.39814e-05,4.63669e-07,3.24775e-08,1.5994e-07,1.15498e-08
0.215738,0.000272108,0.000863774,7.21796e-08,1.46541e-09,3.44202e-08,2.51055e-10,0.251442,8.00371e-05,0.000177874,9.289e-08,8.84402e-10,3.80553e-08,2.31539e-10,0.336484,2.17565e-05,3.0461e-05,2.36918e-07,1.70975e-09,8.24179e-08,5.83485e-10,0.194805,4.98087e-05,3.43445e-05,6.59673e-07,4.90279e-08,2.24441e-07,1.65504e-08
0.215596,0.000288033,0.000990534,7.65596e-08,1.73212e-09,3.6446e-08,2.66708e-10,0.251372,9.95044e-05,0.000228305,1.15954e-07,1.17421e-09,4.73188e-08,2.89809e-10,0.336462,3.07951e-05,4.37003e-05,3.38154e-07,2.54624e-09,1.16662e-07,8.36487e-10,0.19477,6.98879e-05,4.88863e-05,9.34154e-07,7.25746e-08,3.14938e-07,2.35467e-08
0.215445,0.000304791,0.00112471,8.11268e-08,2.01501e-09,3.8579e-08,2.82892e-10,0.251285,0.000123683,0.000291002,1.44504e-07,1.53598e-09,5.88281e-08,3.61766e-10,0.33643,4.35866e-05,6.24399e-05,4.81265e-07,3.74016e-09,1.65128e-07,1.19392e-09,0.194721,9.80526e-05,6.92906e-05,1.31876e-06,1.05919e-07,4.41898e-07,3.33441e-08
0.215285,0.000322411,0.0012667,8.59094e-08,2.31478e-09,4.08235e-08,2.99768e-10,0.251177,0.000153698,0.000368934,1.79894e-07,1.98682e-09,7.31225e-08,4.50842e-10,0.336385,6.16871e-05,8.89637e-05,6.83647e-07,5.43936e-09,2.33718e-07,1.6992e-09,0.194652,0.00013755,9.79181e-05,1.85786e-06,1.52991e-07,6.19982e-07,4.70725e-08
0.215116,0.000340926,0.00141689,9.09275e-08,2.63222e-09,4.31836e-08,3.1744e-10,0.251043,0.000190941,0.000465779,2.23789e-07,2.54808e-09,9.08681e-08,5.61256e-10,0.336322,8.7296e-05,0.000126502,9.6991e-07,7.85311e-09,3.30776e-07,2.41375e-09,0.194556,0.000192925,0.000138077,2.61365e-06,2.19307e-07,8.69725e-07,6.63155e-08
0.214938,0.000360363,0.00157571,9.61961e-08,2.9682e-09,4.56634e-08,3.35983e-10,0.250876,0.000237118,0.00058609,2.7824e-07,3.24628e-09,1.12886e-07,6.98204e-10,0.336232,0.000123519,0.000179625,1.37485e-06,1.12776e-08,4.68095e-07,3.42446e-09,0.194421,0.000270525,0.000194404,3.67321e-06,3.12599e-07,1.21985e-06,9.32927e-08
0.21475,0.000380753,0.00174358,1.01728e-07,3.32365e-09,4.82669e-08,3.5545e-10,0.250669,0.000294326,0.000735497,3.45774e-07,4.11437e-09,1.40187e-07,8.68087e-10,0.336105,0.000174739,0.000254791,1.94766e-06,1.61318e-08,6.6233e-07,4.85419e-09,0.194231,0.000379206,0.000273387,5.15845e-06,4.43713e-07,1.71052e-06,1.31113e-07
0.214551,0.000402122,0.00192095,1.07533e-07,3.69954e-09,5.09979e-08,3.75889e-10,0.250413,0.000365125,0.000920951,4.29495e-07,5.19315e-09,1.74009e-07,1.07879e-09,0.335926,0.000247131,0.000361126,2.75783e-06,2.30084e-08,9.3698e-07,6.87662e-09,0.193966,0.000531291,0.000384102,7.23978e-06,6.27841e-07,2.3977e-06,1.84128e-07
0.214341,0.000424496,0.00210828,1.13621e-07,4.09688e-09,5.386e-08,3.97339e-10,0.250095,0.000452629,0.00115102,5.33213e-07,6.53314e-09,2.15866e-07,1.33999e-09,0.335672,0.000349378,0.000511515,3.90342e-06,3.27454e-08,1.32516e-06,9.73706e-09,0.193595,0.000743864,0.00053922,1.01551e-05,8.86261e-07,3.35933e-06,2.5842e-07
0.21412,0.000447899,0.00230603,1.20001e-07,4.51672e-09,5.68568e-08,4.19836e-10,0.249702,0.000560605,0.00143622,6.61581e-07,8.19672e-09,2.67599e-07,1.66358e-09,0.335313,0.000493657,0.000724125,5.52268e-06,4.65272e-08,1.87342e-06,1.37818e-08,0.193077,0.0010405,0.000756402,1.42357e-05,1.24874e-06,4.70342e-06,3.62481e-07
0.213887,0.000472351,0.00251468,1.26682e-07,4.96013e-09,5.99914e-08,4.43412e-10,0.249216,0.000693571,0.00178945,8.20266e-07,1.02608e-08,3.31436e-07,2.06408e-09,0.334807,0.000696976,0.00102453,7.81016e-06,6.60262e-08,2.64707e-06,1.94989e-08,0.192354,0.00145348,0.00106019,1.99417e-05,1.75688e-06,6.57902e-06,5.08136e-07
0.213642,0.000497871,0.00273472,1.33669e-07,5.42823e-09,6.32665e-08,4.68097e-10,0.248615,0.000856904,0.00222647,1.01613e-06,1.282e-08,4.10047e-07,2.55917e-09,0.334094,0.000982957,0.00144867,1.10389e-05,9.36015e-08,3.7373e-06,2.75753e-08,0.191348,0.00202659,0.00148456,2.79089e-05,2.46868e-06,9.19028e-06,7.11807e-07
0.213383,0.000524472,0.00296665,1.40971e-07,5.92214e-09,6.66846e-08,4.93917e-10,0.247875,0.00105691,0.00276641,1.25741e-06,1.59902e-08,5.06611e-07,3.17024e-09,0.33309,0.00138414,0.00204684,1.55909e-05,1.32577e-07,5.27077e-06,3.89751e-08,0.189952,0.00281835,0.00207626,3.90113e-05,3.46488e-06,1.28141e-05,9.96194e-07
0.213143,0.000520363,0.00321098,1.48592e-07,6.44304e-09,7.02475e-08,5.20896e-10,0.247194,0.00107163,0.00343237,1.55394e-06,1.99132e-08,6.24858e-07,3.92302e-09,0.332254,0.00137189,0.00288915,2.19978e-05,1.87624e-07,7.42196e-06,5.50469e-08,0.189191,0.0027401,0.00289913,5.44391e-05,4.85737e-06,1.78203e-05,1.39249e-06
0.212905,0.000516018,0.00345339,1.52276e-07,6.99209e-09,6.96971e-08,5.49055e-10,0.246505,0.00108465,0.00410767,1.78173e-06,2.47614e-08,6.33557e-07,4.84816e-09,0.331426,0.00135766,0.00372441,2.79217e-05,2.65291e-07,7.35627e-06,7.76675e-08,0.188454,0.00266105,0.00369958,6.84259e-05,6.80054e-06,1.73255e-05,1.94318e-06
0.212669,0.000511445,0.00369378,1.53742e-07,7.55477e-09,6.91152e-08,5.62671e-10,0.24581,0.00109588,0.00479123,1.95775e-06,3.03203e-08,6.41255e-07,5.55887e-09,0.33061,0.00134155,0.00455138,3.33837e-05,3.63874e-07,7.27999e-06,9.85832e-08,0.18774,0.0025815,0.00447734,8.10551e-05,9.24297e-06,1.68257e-05,2.44243e-06
0.212435,0.000506654,0.00393204,1.53945e-07,8.12285e-09,6.85027e-08,5.68087e-10,0.24511,0.00110526,0.00548192,2.09444e-06,3.64283e-08,6.47899e-07,6.10802e-09,0.329805,0.00132363,0.0053689,3.84036e-05,4.81742e-07,7.19358e-06,1.17868e-07,0.187051,0.0025017,0.00523222,9.24067e-05,1.21362e-05,1.63227e-05,2.89322e-06
0.212204,0.000501654,0.00416807,1.53415e-07,8.69169e-09,6.7861e-08,5.68834e-10,0.244406,0.0011127,0.00617855,2.20099e-06,4.29628e-08,6.53441e-07,6.5345e-09,0.329013,0.00130403,0.00617584,4.30007e-05,6.17334e-07,7.09754e-06,1.35592e-07,0.186385,0.00242191,0.00596412,0.000102558,1.54346e-05,1.58181e-05,3.29841e-06
