S_0,I_0,R_0,Q_0,D_0,Q_entry_0,D_entry_0,S_1,I_1,R_1,Q_1,D_1,Q_entry_1,D_entry_1,S_2,I_2,R_2,Q_2,D_2,Q_entry_2,D_entry_2,S_3,I_3,R_3,Q_3,D_3,Q_entry_3,D_entry_3
0.216727,0.00014757,0,0,0,0,0,0.251695,4.12626e-06,0,0,0,0,0,0.336536,8.00122e-07,0,0,0,0,0,0.194887,2.20391e-06,0,0,0,0,0
0.216651,0.00015733,6.59424e-05,2.0982e-08,0,2.0982e-08,0,0.251692,5.36704e-06,2.55608e-06,2.98592e-09,0,2.98592e-09,0,0.336535,1.1427e-06,4.77839e-07,4.16064e-09,0,4.16064e-09,0,0.194886,3.09557e-06,6.75547e-07,1.42236e-08,0,1.42236e-08,0
0.21657,0.000167707,0.000136256,3.31455e-08,8.63268e-11,2.23696e-08,8.63268e-11,0.251687,6.98084e-06,5.88176e-06,5.86772e-09,1.21774e-11,3.88379e-09,1.21774e-11,0.336534,1.63194e-06,1.16054e-06,9.81031e-09,1.60283e-11,5.94202e-09,1.60283e-11,0.194883,4.34798e-06,1.62474e-06,3.33615e-08,5.05741e-10,1.99782e-08,5.05741e-10
0.216484,0.000178735,0.000211212,4.08679e-08,2.22699e-10,2.3845e-08,1.36372e-10,0.25168,9.07976e-06,1.02081e-05,8.95026e-09,3.61077e-11,5.0516e-09,2.39302e-11,0.336532,2.33065e-06,2.1358e-06,1.76071e-08,5.38211e-11,8.48609e-09,3.77929e-11,0.19488,6.10704e-06,2.95828e-06,5.94515e-08,1.69196e-09,2.8061e-08,1.18622e-09
0.216393,0.000190453,0.000291101,4.64021e-08,3.90843e-10,2.54131e-08,1.68144e-10,0.251672,1.18095e-05,1.58357e-05,1.25172e-08,7.26094e-11,6.57046e-09,3.65017e-11,0.33653,3.32849e-06,3.52885e-06,2.84893e-08,1.2165e-10,1.21194e-08,6.78288e-11,0.194876,8.5777e-06,4.83162e-06,9.53528e-08,3.80585e-09,3.94137e-08,2.11389e-09
0.216295,0.000202898,0.000376228,5.09104e-08,5.81756e-10,2.70792e-08,1.90914e-10,0.251661,1.53597e-05,2.31554e-05,1.68626e-08,1.23658e-10,8.54584e-09,5.10489e-11,0.336526,4.75352e-06,5.51854e-06,4.37956e-08,2.31401e-10,1.73082e-08,1.09751e-10,0.19487,1.20478e-05,7.46312e-06,1.45078e-07,7.19626e-09,5.53588e-08,3.39041e-09
0.216191,0.000216109,0.000466918,5.49952e-08,7.91218e-10,2.88486e-08,2.09462e-10,0.251647,1.99764e-05,3.26758e-05,2.23188e-08,1.92429e-10,1.11148e-08,6.87706e-11,0.336522,6.78861e-06,8.36028e-06,6.54366e-08,4.00117e-10,2.47183e-08,1.68716e-10,0.194861,1.69213e-05,1.11594e-05,2.14261e-07,1.23547e-08,7.77539e-08,5.15848e-09
0.216081,0.000230127,0.000563514,5.89715e-08,1.01749e-09,3.0727e-08,2.26269e-10,0.251628,2.59798e-05,4.50579e-05,2.92849e-08,2.83451e-10,1.44557e-08,9.10225e-11,0.336515,9.69487e-06,1.24188e-05,9.61395e-08,6.52203e-10,3.53008e-08,2.52085e-10,0.194849,2.37658e-05,1.63512e-05,3.10809e-07,1.99731e-08,1.09207e-07,7.61837e-09
0.215963,0.000244994,0.000666375,6.30068e-08,1.26012e-09,3.27201e-08,2.42628e-10,0.251605,3.37856e-05,6.11612e-05,3.82576e-08,4.02884e-10,1.88e-08,1.19432e-10,0.336505,1.38451e-05,1.82151e-05,1.39798e-07,1.02257e-09,5.04133e-08,3.70364e-10,0.194832,3.33777e-05,2.36433e-05,4.45827e-07,3.10244e-08,1.5338e-07,1.10513e-08
0.215838,0.000260754,0.000775883,6.71931e-08,1.51935e-09,3.4834e-08,2.59231e-10,0.251573,4.39337e-05,8.21029e-05,4.98679e-08,5.58909e-10,2.44485e-08,1.56026e-10,0.33649,1.97716e-05,2.64927e-05,2.01969e-07,1.56112e-09,7.19946e-08,5.3855e-10,0.194808,4.6875e-05,3.38848e-05,6.34901e-07,4.68765e-08,2.15413e-07,1.5852e-08
