S_0,I_0,R_0,Q_0,D_0,Q_entry_0,D_entry_0,S_1,I_1,R_1,Q_1,D_1,Q_entry_1,D_entry_1,S_2,I_2,R_2,Q_2,D_2,Q_entry_2,D_entry_2,S_3,I_3,R_3,Q_3,D_3,Q_entry_3,D_entry_3
0.216701,0.000173323,0,0,0,0,0,0.251688,1.13604e-05,0,0,0,0,0,0.336536,9.37078e-07,0,0,0,0,0,0.194887,2.31568e-06,0,0,0,0,0
0.21661,0.000181123,8.3001e-05,2.62063e-08,0,2.62063e-08,0,0.251678,1.40606e-05,7.2787e-06,7.44688e-09,0,7.44688e-09,0,0.336535,1.3268e-06,5.66921e-07,4.70847e-09,0,4.70847e-09,0,0.194886,3.25401e-06,6.72514e-07,1.46904e-08,0,1.46904e-08,0
0.216515,0.000189235,0.00016975,4.04714e-08,3.15661e-10,2.73857e-08,3.15661e-10,0.251666,1.74022e-05,1.6289e-05,1.51154e-08,2.81725e-11,9.21692e-09,2.81725e-11,0.336533,1.8786e-06,1.36992e-06,1.1055e-08,1.70115e-11,6.66667e-09,1.70115e-11,0.194883,4.57255e-06,1.61791e-06,3.44109e-08,5.50242e-10,2.06431e-08,5.50242e-10
0.216416,0.000197666,0.000260391,4.88209e-08,8.03147e-10,2.86122e-08,4.87486e-10,0.251651,2.15371e-05,2.74418e-05,2.33799e-08,8.5356e-11,1.14074e-08,5.71835e-11,0.336532,2.65988e-06,2.50717e-06,1.97427e-08,5.69528e-11,9.43926e-09,3.99413e-11,0.19488,6.42531e-06,2.94673e-06,6.12576e-08,1.83913e-09,2.90077e-08,1.28889e-09
0.216313,0.000206426,0.000355073,5.42649e-08,1.3912e-09,2.9887e-08,5.88058e-10,0.251632,2.66534e-05,4.12456e-05,3.26365e-08,1.73805e-10,1.41179e-08,8.84492e-11,0.336529,3.76607e-06,4.11763e-06,3.17653e-08,1.28282e-10,1.33649e-08,7.13294e-11,0.194876,9.02873e-06,4.8143e-06,9.81719e-08,4.13359e-09,4.07614e-08,2.29445e-09
0.216205,0.000215522,0.000453953,5.83077e-08,2.04484e-09,3.12114e-08,6.53632e-10,0.251608,3.29834e-05,5.83294e-05,4.33223e-08,2.97273e-10,1.74717e-08,1.23468e-10,0.336525,5.33226e-06,6.3981e-06,4.85287e-08,2.43049e-10,1.89231e-08,1.14767e-10,0.194869,1.26869e-05,7.43889e-06,1.49284e-07,7.8107e-09,5.72771e-08,3.67711e-09
0.216092,0.000224963,0.000557191,6.17018e-08,2.74716e-09,3.25868e-08,7.02328e-10,0.251579,4.08139e-05,7.9471e-05,5.59355e-08,4.61167e-10,2.16211e-08,1.63894e-10,0.33652,7.54972e-06,9.62718e-06,7.20219e-08,4.18381e-10,2.67926e-08,1.75332e-10,0.19486,1.78268e-05,1.11271e-05,2.20393e-07,1.34023e-08,8.04838e-08,5.59155e-09
0.215974,0.000234756,0.000664951,6.4824e-08,3.49037e-09,3.40142e-08,7.4321e-10,0.251543,5.04994e-05,0.000105632,7.10593e-08,6.72778e-10,2.67541e-08,2.11611e-10,0.336512,1.06892e-05,1.41993e-05,1.0506e-07,6.78593e-10,3.79345e-08,2.60212e-10,0.194848,2.50487e-05,1.631e-05,3.19643e-07,2.16572e-08,1.13091e-07,8.25499e-09
0.215852,0.000244908,0.000777403,6.78637e-08,4.27119e-09,3.54949e-08,7.80818e-10,0.251499,6.24771e-05,0.000138002,8.93874e-08,9.41605e-10,3.31031e-08,2.68826e-10,0.336501,1.5134e-05,2.06729e-05,1.51626e-07,1.05817e-09,5.37093e-08,3.79576e-10,0.19483,3.5195e-05,2.35926e-05,4.58475e-07,3.36298e-08,1.58906e-07,1.19725e-08
0.215724,0.000255427,0.000894717,7.09166e-08,5.08862e-09,3.703e-08,8.17432e-10,0.251444,7.72859e-05,0.00017805,1.11756e-07,1.27977e-09,4.09546e-08,3.38164e-10,0.336485,2.14264e-05,2.98385e-05,2.1736e-07,1.60599e-09,7.60425e-08,5.47819e-10,0.194805,4.94491e-05,3.38255e-05,6.52956e-07,5.08023e-08,2.23273e-07,1.71726e-08
