S_0,I_0,R_0,Q_0,D_0,Q_entry_0,D_entry_0,S_1,I_1,R_1,Q_1,D_1,Q_entry_1,D_entry_1,S_2,I_2,R_2,Q_2,D_2,Q_entry_2,D_entry_2,S_3,I_3,R_3,Q_3,D_3,Q_entry_3,D_entry_3
0.216717,0.000157558,0,0,0,0,0,0.251688,1.1093e-05,0,0,0,0,0,0.336536,9.73988e-07,0,0,0,0,0,0.194887,2.42403e-06,0,0,0,0,0
0.216635,0.000169328,7.00113e-05,1.6628e-08,0,1.6628e-08,0,0.251679,1.36965e-05,7.01913e-06,7.61887e-09,0,7.61887e-09,0,0.336535,1.37635e-06,5.90835e-07,5.00156e-09,0,5.00156e-09,0,0.194885,3.39671e-06,7.10416e-07,1.55997e-08,0,1.55997e-08,0
0.216547,0.000181945,0.000145261,2.64488e-08,1.31239e-11,1.78703e-08,1.31239e-11,0.251667,1.69104e-05,1.56876e-05,1.49738e-08,3.90206e-11,9.40694e-09,3.90206e-11,0.336533,1.94494e-06,1.4261e-06,1.16955e-08,2.15726e-11,7.06776e-09,2.15726e-11,0.194883,4.75969e-06,1.70628e-06,3.65149e-08,5.66727e-10,2.18594e-08,5.66727e-10
0.216453,0.000195464,0.000226122,3.28469e-08,3.3999e-11,1.92018e-08,2.08751e-11,0.251652,2.08779e-05,2.63916e-05,2.25553e-08,1.1571e-10,1.16143e-08,7.66897e-11,0.336531,2.7484e-06,2.60676e-06,2.08087e-08,7.20173e-11,9.98752e-09,5.04446e-11,0.19488,6.66954e-06,3.1021e-06,6.49355e-08,1.89329e-09,3.06307e-08,1.32656e-09
0.216351,0.000209943,0.000312993,3.75744e-08,5.99239e-11,2.06285e-08,2.59249e-11,0.251634,2.57751e-05,3.96081e-05,3.08198e-08,2.31229e-10,1.43392e-08,1.15519e-10,0.336529,3.88377e-06,4.27544e-06,3.33667e-08,1.61769e-10,1.41134e-08,8.97519e-11,0.194875,9.34565e-06,5.05833e-06,1.03927e-07,4.25236e-09,4.29215e-08,2.35907e-09
0.216242,0.000225443,0.000406299,4.15414e-08,8.958e-11,2.21565e-08,2.96562e-11,0.251612,3.18194e-05,5.59254e-05,4.02219e-08,3.89075e-10,1.77027e-08,1.57846e-10,0.336525,5.48812e-06,6.63374e-06,5.08162e-08,3.05686e-10,1.99437e-08,1.43917e-10,0.194868,1.30954e-05,7.7998e-06,1.5778e-07,8.02795e-09,6.01434e-08,3.77559e-09
0.216126,0.000242029,0.000506496,4.52238e-08,1.22367e-10,2.37924e-08,3.27872e-11,0.251584,3.92787e-05,7.60698e-05,5.12431e-08,5.95075e-10,2.18541e-08,2.06e-10,0.336519,7.75514e-06,9.96649e-06,7.51998e-08,5.24865e-10,2.81822e-08,2.19179e-10,0.194859,1.83493e-05,1.16415e-05,2.32504e-07,1.376e-08,8.42746e-08,5.73204e-09
0.216,0.000259768,0.000614064,4.8874e-08,1.58061e-10,2.55428e-08,3.56936e-11,0.25155,4.84829e-05,0.000100937,6.44192e-08,8.57521e-10,2.69772e-08,2.62446e-10,0.336511,1.09585e-05,1.46762e-05,1.09402e-07,8.49216e-10,3.98236e-08,3.24351e-10,0.194846,2.57105e-05,1.70248e-05,3.36517e-07,2.22067e-08,1.18086e-07,8.44675e-09
0.215866,0.000278728,0.000729516,5.26293e-08,1.96635e-10,2.74149e-08,3.85746e-11,0.251508,5.98382e-05,0.000131632,8.03682e-08,1.18745e-09,3.32988e-08,3.29928e-10,0.3365,1.54847e-05,2.13314e-05,1.57498e-07,1.32109e-09,5.62733e-08,4.71872e-10,0.194828,3.60235e-05,2.4568e-05,4.81607e-07,3.44322e-08,1.65458e-07,1.22255e-08
0.215722,0.000298983,0.000853396,5.65677e-08,2.38174e-10,2.94159e-08,4.15385e-11,0.251456,7.38444e-05,0.000169515,9.98206e-08,1.59906e-09,4.10978e-08,4.11612e-10,0.336484,2.188e-05,3.07358e-05,2.25241e-07,2.0004e-09,7.95162e-08,6.79316e-10,0.194803,5.04711e-05,3.51371e-05,6.84284e-07,5.19287e-08,2.31827e-07,1.74965e-08
0.215567,0.000320607,0.000986277,6.07371e-08,2.82821e-10,3.15535e-08,4.46469e-11,0.251392,9.11157e-05,0.000216267,1.23654e-07,2.1103e-09,5.07174e-08,5.11239e-10,0.336461,3.09154e-05,4.40244e-05,3.2076e-07,2.97191e-09,1.12357e-07,9.71504e-10,0.194768,7.07084e-05,4.99454e-05,9.67671e-07,7.67884e-08,3.24804e-07,2.48597e-08
0.215402,0.000343675,0.00112877,6.51702e-08,3.30758e-10,3.38356e-08,4.79377e-11,0.251313,0.000112407,0.000273953,1.5293e-07,2.7436e-09,6.25797e-08,6.33302e-10,0.33643,4.368e-05,6.28007e-05,4.55538e-07,4.35541e-09,1.58755e-07,1.3835e-09,0.194718,9.90512e-05,7.06915e-05,1.36414e-06,1.11943e-07,4.5504e-07,3.51549e-08
0.215224,0.000368268,0.00128151,6.98919e-08,3.82195e-10,3.62702e-08,5.14366e-11,0.251216,0.000138642,0.000345119,1.88944e-07,3.52684e-09,7.72025e-08,7.83243e-10,0.336385,6.17106e-05,8.93297e-05,6.45789e-07,6.32023e-09,2.24302e-07,1.96482e-09,0.194649,0.000138737,9.97537e-05,1.91901e-06,1.61502e-07,6.37438e-07,4.95584e-08
0.215035,0.000394463,0.00144519,7.49232e-08,4.37358e-10,3.88655e-08,5.51632e-11,0.251095,0.000170953,0.000432894,2.33278e-07,4.49454e-09,9.52212e-08,9.67693e-10,0.336322,8.71757e-05,0.00012681,9.14408e-07,9.10563e-09,3.16892e-07,2.7854e-09,0.194552,0.00019429,0.00014046,2.6957e-06,2.31218e-07,8.92836e-07,6.97166e-08
0.214831,0.000422343,0.00162051,8.02834e-08,4.96493e-10,4.16301e-08,5.91343e-11,0.250947,0.000210725,0.000541127,2.87863e-07,5.68929e-09,1.17413e-07,1.19475e-09,0.336233,0.000123132,0.000179756,1.29371e-06,1.30496e-08,4.47659e-07,3.94401e-09,0.194416,0.000272018,0.000197466,3.78287e-06,3.29151e-07,1.25034e-06,9.7933e-08
0.214614,0.000451987,0.00180821,8.59911e-08,5.59858e-10,4.45724e-08,6.33649e-11,0.250765,0.000259641,0.000674539,3.55063e-07,7.1636e-09,1.44729e-07,1.47431e-09,0.336106,0.000173886,0.000254541,1.82931e-06,1.86297e-08,6.32301e-07,5.58002e-09,0.194226,0.00038071,0.000277279,5.30446e-06,4.66581e-07,1.75056e-06,1.3743e-07
0.214382,0.000483477,0.0020091,9.20643e-08,6.27727e-10,4.7701e-08,6.78698e-11,0.25054,0.000319749,0.000838921,4.3776e-07,8.98208e-09,1.78325e-07,1.81848e-09,0.335928,0.000245493,0.000360152,2.58549e-06,2.65198e-08,8.92928e-07,7.89014e-09,0.19396,0.000532571,0.000388983,7.43344e-06,6.59289e-07,2.45004e-06,1.92708e-07
0.214133,0.000516892,0.00222398,9.85208e-08,7.00391e-10,5.10243e-08,7.26632e-11,0.250264,0.000393525,0.00104136,5.39468e-07,1.12241e-08,2.19609e-07,2.24202e-09,0.335677,0.000346456,0.000509254,3.65287e-06,3.76715e-08,1.26064e-06,1.11517e-08,0.193588,0.000744501,0.000545245,1.04108e-05,9.29341e-07,3.42733e-06,2.70052e-07
0.213868,0.000552308,0.00245371,1.05378e-07,7.7815e-10,5.45507e-08,7.77591e-11,0.249924,0.000483948,0.0012905,6.64454e-07,1.3987e-08,2.70279e-07,2.76293e-09,0.335323,0.000488675,0.000719676,5.15891e-06,5.3427e-08,1.77909e-06,1.57555e-08,0.19307,0.00103977,0.00076369,1.45719e-05,1.30756e-06,4.79119e-06,3.7822e-07
0.213585,0.0005898,0.00269918,1.12654e-07,8.61321e-10,5.82884e-08,8.31714e-11,0.249507,0.000594581,0.0015969,8.17881e-07,1.73901e-08,3.32383e-07,3.40305e-09,0.334824,0.000688748,0.00101648,7.28269e-06,7.56783e-08,2.50941e-06,2.22513e-08,0.192348,0.0014502,0.00106877,2.03813e-05,1.83695e-06,6.69138e-06,5.29389e-07
0.213283,0.000629438,0.00296131,1.20364e-07,9.50235e-10,6.22452e-08,8.89137e-11,0.248996,0.00072965,0.00197333,1.00597e-06,2.15789e-08,4.08367e-07,4.18884e-09,0.334122,0.000969688,0.00143479,1.02751e-05,1.0709e-07,3.53681e-06,3.14116e-08,0.191345,0.00201889,0.00149428,2.84804e-05,2.57739e-06,9.33271e-06,7.4044e-07
0.212962,0.000671284,0.00324106,1.28525e-07,1.04523e-09,6.64284e-08,9.49991e-11,0.248369,0.000894114,0.00243529,1.23617e-06,2.67311e-08,5.01134e-07,5.15216e-09,0.333135,0.00136315,0.00202374,1.44865e-05,1.51408e-07,4.97948e-06,4.43184e-08,0.189956,0.0028033,0.00208665,3.9749e-05,3.61207e-06,1.29925e-05,1.03468e-06
0.212659,0.00067523,0.00353941,1.37151e-07,1.14667e-09,7.08447e-08,1.0144e-10,0.247795,0.00090163,0.00300136,1.51733e-06,3.30622e-08,6.14091e-07,6.33114e-09,0.332308,0.00135664,0.00285167,2.04036e-05,2.13891e-07,6.99996e-06,6.2483e-08,0.189197,0.0027225,0.00290918,5.53836e-05,5.05612e-06,1.80405e-05,1.44406e-06
0.212356,0.000678767,0.00383952,1.42018e-07,1.25492e-09,7.12611e-08,1.08249e-10,0.247218,0.000907873,0.00357227,1.72792e-06,4.08333e-08,6.19253e-07,7.77111e-09,0.331486,0.00134812,0.00367607,2.5845e-05,3.01896e-07,6.96654e-06,8.80044e-08,0.188463,0.00264109,0.00370841,6.95519e-05,7.06818e-06,1.75205e-05,2.01205e-06
0.212051,0.000681887,0.0041412,1.44903e-07,1.36701e-09,7.16344e-08,1.1209e-10,0.246638,0.000912804,0.00414719,1.88609e-06,4.9683e-08,6.23541e-07,8.84969e-09,0.330672,0.00133763,0.00449568,3.08358e-05,4.1337e-07,6.92277e-06,1.11474e-07,0.187754,0.00255935,0.00448413,8.23387e-05,9.59496e-06,1.69966e-05,2.52678e-06
0.211745,0.000684582,0.00444427,1.4672e-07,1.48138e-09,7.19637e-08,1.14367e-10,0.246056,0.000916393,0.00472526,2.00504e-06,5.93428e-08,6.26927e-07,9.65974e-09,0.329866,0.00132524,0.00530928,3.53997e-05,5.4637e-07,6.86892e-06,1.33e-07,0.187069,0.00247756,0.00523619,9.38256e-05,1.25863e-05,1.64706e-05,2.99132e-06
0.211439,0.000686845,0.00474854,1.47942e-07,1.59718e-09,7.22481e-08,1.15801e-10,0.245473,0.000918619,0.00530564,2.09442e-06,6.96117e-08,6.29393e-07,1.0269e-08,0.32907,0.00131102,0.00611568,3.95589e-05,6.99056e-07,6.8053e-06,1.52685e-07,0.186409,0.00239596,0.00596457,0.000104091,1.59949e-05,1.59442e-05,3.40863e-06
0.211132,0.00068867,0.00505381,1.48811e-07,1.71395e-09,7.24869e-08,1.16765e-10,0.24489,0.000919467,0.00588745,2.16126e-06,8.03385e-08,6.30921e-07,1.07267e-08,0.328284,0.00129505,0.00691375,4.33341e-05,8.6968e-07,6.73228e-06,1.70625e-07,0.185772,0.00231479,0.00666928,0.00011321,1.97765e-05,1.5419e-05,3.78156e-06
0.210824,0.000690053,0.00535989,1.49452e-07,1.8314e-09,7.26795e-08,1.17451e-10,0.244308,0.000918931,0.00646981,2.21068e-06,9.14075e-08,6.31504e-07,1.10691e-08,0.327509,0.00127742,0.0077024,4.67451e-05,1.05659e-06,6.65026e-06,1.86908e-07,0.18516,0.00223427,0.00735042,0.000121254,2.38893e-05,1.48967e-05,4.11284e-06
0.210517,0.00069099,0.00566659,1.49929e-07,1.94935e-09,7.28255e-08,1.17957e-10,0.243728,0.000917014,0.00705185,2.24642e-06,1.0273e-07,6.31136e-07,1.13222e-08,0.326747,0.00125823,0.0084806,4.98106e-05,1.25821e-06,6.55973e-06,2.0162e-07,0.18457,0.00215461,0.00800816,0.000128293,2.82944e-05,1.43785e-05,4.40509e-06
0.210209,0.000691478,0.00597371,1.50273e-07,2.06769e-09,7.29243e-08,1.18334e-10,0.243151,0.000913726,0.00763269,2.27122e-06,1.14235e-07,6.29819e-07,1.15052e-08,0.325998,0.00123757,0.00924737,5.25484e-05,1.47305e-06,6.46117e-06,2.14842e-07,0.184003,0.00207597,0.00864272,0.000134394,3.29552e-05,1.38658e-05,4.66083e-06
0.209902,0.000691518,0.00628104,1.50503e-07,2.18629e-09,7.29759e-08,1.18606e-10,0.242577,0.000909085,0.00821145,2.28708e-06,1.25867e-07,6.27561e-07,1.16322e-08,0.325263,0.00121557,0.0100018,5.49755e-05,1.6997e-06,6.35511e-06,2.26651e-07,0.183459,0.00199853,0.00925438,0.000139619,3.78377e-05,1.33598e-05,4.88246e-06
0.209595,0.000691107,0.00658839,1.50625e-07,2.30508e-09,7.298e-08,1.18787e-10,0.242007,0.00090312,0.00878728,2.29548e-06,1.37581e-07,6.24373e-07,1.17134e-08,0.324542,0.00119233,0.0107431,5.71081e-05,1.93682e-06,6.24212e-06,2.37119e-07,0.182937,0.00192242,0.00984347,0.00014403,4.291e-05,1.28614e-05,5.07229e-06
