S_0,I_0,R_0,Q_0,D_0,Q_entry_0,D_entry_0,S_1,I_1,R_1,Q_1,D_1,Q_entry_1,D_entry_1,S_2,I_2,R_2,Q_2,D_2,Q_entry_2,D_entry_2,S_3,I_3,R_3,Q_3,D_3,Q_entry_3,D_entry_3
0.216706,0.000168154,0,0,0,0,0,0.251682,1.71091e-05,0,0,0,0,0,0.336536,9.82191e-07,0,0,0,0,0,0.194887,2.27279e-06,0,0,0,0,0
0.216617,0.000178533,7.91275e-05,2.48286e-08,0,2.48286e-08,0,0.251668,2.08026e-05,1.11561e-05,1.00573e-08,0,1.00573e-08,0,0.336535,1.38796e-06,5.94554e-07,5.04072e-09,0,5.04072e-09,0,0.194886,3.19544e-06,6.59376e-07,1.41717e-08,0,1.41717e-08,0
0.216522,0.000189515,0.000163151,3.90592e-08,2.79045e-10,2.63612e-08,2.79045e-10,0.251649,2.52922e-05,2.47223e-05,2.03589e-08,4.59988e-11,1.22284e-08,4.59988e-11,0.336533,1.96136e-06,1.43508e-06,1.17968e-08,1.96293e-11,7.12318e-09,1.96293e-11,0.194883,4.49262e-06,1.58678e-06,3.32315e-08,5.15062e-10,1.99248e-08,5.15062e-10
0.216421,0.000201127,0.000252349,4.79586e-08,7.18026e-10,2.79826e-08,4.38981e-10,0.251628,3.07493e-05,4.12181e-05,3.13262e-08,1.39114e-10,1.48676e-08,9.31152e-11,0.336531,2.77163e-06,2.62317e-06,2.10036e-08,6.55677e-11,1.00659e-08,4.59384e-11,0.19488,6.31636e-06,2.89099e-06,5.92164e-08,1.72284e-09,2.80133e-08,1.20778e-09
0.216314,0.000213401,0.000347016,5.42245e-08,1.25702e-09,2.96973e-08,5.38999e-10,0.251601,3.73815e-05,6.12741e-05,4.34002e-08,2.8239e-10,1.80755e-08,1.43276e-10,0.336528,3.91663e-06,4.30239e-06,3.36983e-08,1.47359e-10,1.42244e-08,8.1791e-11,0.194876,8.88035e-06,4.72494e-06,9.4987e-08,3.87502e-09,3.9385e-08,2.15218e-09
0.2162,0.000226368,0.000447461,5.92414e-08,1.86645e-09,3.15096e-08,6.09421e-10,0.251568,4.54407e-05,8.5657e-05,5.70596e-08,4.80888e-10,2.19741e-08,1.98498e-10,0.336524,5.53461e-06,6.67558e-06,5.13447e-08,2.78585e-10,2.01006e-08,1.31226e-10,0.19487,1.2485e-05,7.30363e-06,1.44562e-07,7.32727e-09,5.53725e-08,3.45224e-09
0.21608,0.00024006,0.000554011,6.37218e-08,2.53225e-09,3.34242e-08,6.65805e-10,0.251529,5.52323e-05,0.000115297,7.28397e-08,7.4186e-10,2.67115e-08,2.60972e-10,0.336519,7.82091e-06,1.00294e-05,7.60096e-08,4.78528e-10,2.84043e-08,1.99944e-10,0.194861,1.75526e-05,1.09293e-05,2.13587e-07,1.25813e-08,7.7849e-08,5.254e-09
0.215953,0.000254509,0.000667005,6.80349e-08,3.24841e-09,3.54459e-08,7.1616e-10,0.251481,6.71263e-05,0.000151326,9.13524e-08,1.07501e-09,3.24674e-08,3.33145e-10,0.336511,1.10515e-05,1.47689e-05,1.10612e-07,7.74521e-10,4.01379e-08,2.95993e-10,0.194848,2.46764e-05,1.60269e-05,3.09997e-07,2.0344e-08,1.09447e-07,7.76268e-09
0.215818,0.000269748,0.000786801,7.23742e-08,4.01305e-09,3.75794e-08,7.64634e-10,0.251423,8.15705e-05,0.000195113,1.1331e-07,1.49282e-09,3.94591e-08,4.17816e-10,0.3365,1.56164e-05,2.14664e-05,1.59274e-07,1.20526e-09,5.67178e-08,4.30738e-10,0.194831,3.46905e-05,2.31936e-05,4.44943e-07,3.16106e-08,1.53867e-07,1.12667e-08
0.215675,0.00028581,0.000913771,7.68436e-08,4.82645e-09,3.98295e-08,8.13403e-10,0.251352,9.91065e-05,0.000248322,1.39552e-07,2.01107e-09,4.79498e-08,5.18244e-10,0.336484,2.20662e-05,3.09305e-05,2.27819e-07,1.8255e-09,8.01451e-08,6.20236e-10,0.194807,4.87663e-05,3.3269e-05,6.34094e-07,4.77818e-08,2.16309e-07,1.61712e-08
