S_0,I_0,R_0,Q_0,D_0,Q_entry_0,D_entry_0,S_1,I_1,R_1,Q_1,D_1,Q_entry_1,D_entry_1,S_2,I_2,R_2,Q_2,D_2,Q_entry_2,D_entry_2,S_3,I_3,R_3,Q_3,D_3,Q_entry_3,D_entry_3
0.216736,0.00013859,0,0,0,0,0,0.251696,3.10784e-06,0,0,0,0,0,0.336536,8.10373e-07,0,0,0,0,0,0.194887,2.19498e-06,0,0,0,0,0
0.21666,0.000150467,6.38579e-05,1.70623e-08,0,1.70623e-08,0,0.251694,4.08859e-06,1.92808e-06,2.22507e-09,0,2.22507e-09,0,0.336535,1.15676e-06,4.84798e-07,4.1779e-09,0,4.1779e-09,0,0.194886,3.08323e-06,6.77157e-07,1.4355e-08,0,1.4355e-08,0
0.216578,0.000163333,0.000133197,2.67929e-08,8.77549e-11,1.85246e-08,8.77549e-11,0.25169,5.37878e-06,4.46531e-06,4.42282e-09,1.53903e-11,2.92724e-09,1.53903e-11,0.336534,1.6512e-06,1.17708e-06,9.86488e-09,1.6363e-11,5.9637e-09,1.6363e-11,0.194883,4.33091e-06,1.62868e-06,3.36594e-08,5.16222e-10,2.0164e-08,5.16222e-10
0.216488,0.000177265,0.00020847,3.30923e-08,2.25556e-10,2.01086e-08,1.37801e-10,0.251685,7.07603e-06,7.80368e-06,6.82376e-09,4.59819e-11,3.85095e-09,3.05916e-11,0.336532,2.35698e-06,2.16551e-06,1.77243e-08,5.49995e-11,8.51281e-09,3.86365e-11,0.19488,6.08344e-06,2.96558e-06,5.99675e-08,1.72665e-09,2.83237e-08,1.21043e-09
0.216392,0.000192346,0.000290165,3.78603e-08,3.95756e-10,2.18238e-08,1.702e-10,0.251678,9.30871e-06,1.21958e-05,9.65271e-09,9.31803e-11,5.06611e-09,4.71984e-11,0.33653,3.36443e-06,3.57665e-06,2.87019e-08,1.24418e-10,1.21515e-08,6.94185e-11,0.194876,8.54508e-06,4.84377e-06,9.61616e-08,3.88316e-09,3.97851e-08,2.1565e-09
0.216287,0.000208663,0.000378812,4.20275e-08,5.90479e-10,2.36805e-08,1.94723e-10,0.251669,1.22456e-05,1.79739e-05,1.31527e-08,1.59946e-10,6.6646e-09,6.67656e-11,0.336526,4.80246e-06,5.59118e-06,4.41463e-08,2.36831e-10,1.73454e-08,1.12413e-10,0.19487,1.20027e-05,7.48224e-06,1.46287e-07,7.34124e-09,5.5884e-08,3.45808e-09
0.216173,0.000226309,0.000474979,4.60558e-08,8.06635e-10,2.56894e-08,2.16156e-10,0.251658,1.61088e-05,2.55752e-05,1.76079e-08,2.5092e-10,8.76729e-09,9.09741e-11,0.336521,6.85508e-06,8.46695e-06,6.59815e-08,4.09733e-10,2.47592e-08,1.72902e-10,0.194861,1.6859e-05,1.11886e-05,2.16023e-07,1.26019e-08,7.84964e-08,5.26066e-09
0.21605,0.000245383,0.000579279,5.01804e-08,1.04351e-09,2.78618e-08,2.36874e-10,0.251643,2.11899e-05,3.55746e-05,2.33683e-08,3.7271e-10,1.15331e-08,1.2179e-10,0.336514,9.78491e-06,1.2572e-05,9.69529e-08,6.68154e-10,3.53415e-08,2.58421e-10,0.194849,2.36798e-05,1.63948e-05,3.13344e-07,2.03703e-08,1.10257e-07,7.76845e-09
0.215916,0.000265987,0.000692369,5.45273e-08,1.3016e-09,3.021e-08,2.58087e-10,0.251623,2.78726e-05,4.87281e-05,3.0878e-08,5.34343e-10,1.5171e-08,1.61633e-10,0.336504,1.39667e-05,1.84318e-05,1.40978e-07,1.04788e-09,5.04463e-08,3.79723e-10,0.194832,3.3259e-05,2.37076e-05,4.49443e-07,3.16386e-08,1.54864e-07,1.12682e-08
0.215771,0.000288232,0.000814956,5.91705e-08,1.58204e-09,3.27467e-08,2.80444e-10,0.251597,3.66607e-05,6.60299e-05,4.07101e-08,7.47919e-10,1.99554e-08,2.13576e-10,0.33649,1.99353e-05,2.6796e-05,2.03646e-07,1.60003e-09,7.20057e-08,5.52149e-10,0.194808,4.67111e-05,3.39788e-05,6.4004e-07,4.78011e-08,2.1751e-07,1.61625e-08
0.215614,0.000312232,0.000947794,6.41593e-08,1.88637e-09,3.54854e-08,3.04325e-10,0.251562,4.82162e-05,8.87869e-05,5.36107e-08,1.0295e-09,2.62473e-08,2.81583e-10,0.336469,2.84537e-05,3.87348e-05,2.92935e-07,2.39762e-09,1.02777e-07,7.97594e-10,0.194774,6.56001e-05,4.84045e-05,9.07199e-07,7.08176e-08,3.05486e-07,2.30166e-08
0.215444,0.000338107,0.00109169,6.95315e-08,2.21635e-09,3.84401e-08,3.29984e-10,0.251517,6.34077e-05,0.000118717,7.0555e-08,1.40031e-09,3.45205e-08,3.70813e-10,0.33644,4.06101e-05,5.57752e-05,4.20227e-07,3.54492e-09,1.46693e-07,1.1473e-09,0.194727,9.21192e-05,6.8664e-05,1.28189e-06,1.03442e-07,4.29018e-07,3.26239e-08
