S_0,I_0,R_0,Q_0,D_0,Q_entry_0,D_entry_0,S_1,I_1,R_1,Q_1,D_1,Q_entry_1,D_entry_1,S_2,I_2,R_2,Q_2,D_2,Q_entry_2,D_entry_2,S_3,I_3,R_3,Q_3,D_3,Q_entry_3,D_entry_3
0.216717,0.000157139,0,0,0,0,0,0.251695,4.90293e-06,0,0,0,0,0,0.336536,8.24884e-07,0,0,0,0,0,0.194887,2.3199e-06,0,0,0,0,0
0.216634,0.000167361,7.33267e-05,2.04296e-08,0,2.04296e-08,0,0.25169,6.37406e-06,2.99432e-06,3.33435e-09,0,3.33435e-09,0,0.336535,1.17494e-06,4.95972e-07,4.39444e-09,0,4.39444e-09,0,0.194886,3.25564e-06,6.9006e-07,1.46447e-08,0,1.46447e-08,0
0.216545,0.000178215,0.000151433,3.30962e-08,3.24695e-11,2.17586e-08,3.24695e-11,0.251684,8.28649e-06,6.88811e-06,6.6338e-09,2.23947e-11,4.33483e-09,2.23947e-11,0.336534,1.67354e-06,1.20272e-06,1.03338e-08,1.70816e-11,6.25929e-09,1.70816e-11,0.194883,4.56878e-06,1.6588e-06,3.43247e-08,5.28953e-10,2.05516e-08,5.28953e-10
0.21645,0.000189733,0.000234609,4.15367e-08,8.50705e-11,2.31697e-08,5.2601e-11,0.251677,1.07726e-05,1.19509e-05,1.02093e-08,6.69496e-11,5.63543e-09,4.45549e-11,0.336532,2.38372e-06,2.20967e-06,1.8497e-08,5.725e-11,8.91551e-09,4.01684e-11,0.19488,6.41152e-06,3.01859e-06,6.11229e-08,1.76873e-09,2.8841e-08,1.23978e-09
0.216349,0.000201952,0.000323164,4.77184e-08,1.51086e-10,2.46672e-08,6.60158e-11,0.251667,1.40042e-05,1.8533e-05,1.43653e-08,1.35519e-10,7.32613e-09,6.85693e-11,0.33653,3.39527e-06,3.64418e-06,2.98492e-08,1.29149e-10,1.26989e-08,7.18993e-11,0.194875,8.99744e-06,4.92714e-06,9.79586e-08,3.97643e-09,4.04736e-08,2.2077e-09
0.216242,0.000214907,0.000417423,5.27375e-08,2.26927e-10,2.62557e-08,7.58405e-11,0.251654,1.82047e-05,2.709e-05,1.94284e-08,2.32001e-10,9.52387e-09,9.64821e-11,0.336526,4.83604e-06,5.68769e-06,4.57638e-08,2.45176e-10,1.80877e-08,1.16026e-10,0.194869,1.26262e-05,7.60574e-06,1.48926e-07,7.5146e-09,5.67976e-08,3.53817e-09
0.216128,0.000228637,0.00051773,5.72072e-08,3.10744e-10,2.79401e-08,8.38176e-11,0.251638,2.36644e-05,3.82139e-05,2.57761e-08,3.62489e-10,1.23806e-08,1.30488e-10,0.336521,6.88814e-06,8.59857e-06,6.81952e-08,4.23064e-10,2.57632e-08,1.77888e-10,0.19486,1.77181e-05,1.13649e-05,2.19767e-07,1.28937e-08,7.97044e-08,5.37907e-09
0.216007,0.000243181,0.000624446,6.14728e-08,4.01666e-10,2.97251e-08,9.09215e-11,0.251616,3.076e-05,5.26741e-05,3.38657e-08,5.3561e-10,1.60935e-08,1.73121e-10,0.336514,9.81093e-06,1.27448e-05,9.99258e-08,6.88145e-10,3.66955e-08,2.65081e-10,0.194848,2.4863e-05,1.66403e-05,3.18535e-07,2.08314e-08,1.11848e-07,7.93777e-09
0.215878,0.000258577,0.00073795,6.57308e-08,4.99367e-10,3.16159e-08,9.7701e-11,0.251588,3.99809e-05,7.14702e-05,4.42689e-08,7.63064e-10,2.09191e-08,2.27454e-10,0.336504,1.39737e-05,1.86507e-05,1.44917e-07,1.07656e-09,5.22661e-08,3.8842e-10,0.19483,3.48879e-05,2.40433e-05,4.56528e-07,3.23366e-08,1.56951e-07,1.15052e-08
0.215741,0.000274866,0.000858641,7.00955e-08,6.03835e-10,3.36175e-08,1.04468e-10,0.251552,5.19617e-05,9.59008e-05,5.77125e-08,1.06039e-09,2.71899e-08,2.97325e-10,0.33649,1.99023e-05,2.70625e-05,2.08809e-07,1.63987e-09,7.44427e-08,5.63305e-10,0.194805,4.89527e-05,3.44315e-05,6.49591e-07,4.8826e-08,2.20234e-07,1.64893e-08
0.215595,0.000292088,0.000986934,7.46354e-08,7.1524e-10,3.57353e-08,1.11405e-10,0.251504,6.7526e-05,0.000127653,7.51295e-08,1.44801e-09,3.53378e-08,3.87617e-10,0.336469,2.83454e-05,3.90434e-05,2.99633e-07,2.45153e-09,1.06026e-07,8.11659e-10,0.194771,6.86832e-05,4.90078e-05,9.1995e-07,7.22886e-08,3.0902e-07,2.34626e-08
0.215441,0.000310286,0.00112327,7.9394e-08,8.33861e-10,3.79744e-08,1.18621e-10,0.251443,8.77406e-05,0.000168915,9.7723e-08,1.9526e-09,4.59226e-08,5.04596e-10,0.33644,4.03684e-05,5.6107e-05,4.28824e-07,3.61623e-09,1.51005e-07,1.1647e-09,0.194722,9.63575e-05,6.94592e-05,1.29877e-06,1.05516e-07,4.33572e-07,3.32277e-08
0.215277,0.0003295,0.00126809,8.44007e-08,9.60045e-10,4.03403e-08,1.26184e-10,0.251363,0.000113987,0.00022253,1.27048e-07,2.60894e-09,5.96701e-08,6.56342e-10,0.336398,5.74875e-05,8.04086e-05,6.1266e-07,5.28311e-09,2.15056e-07,1.66688e-09,0.194654,0.000135166,9.81514e-05,1.82974e-06,1.52427e-07,6.0827e-07,4.69103e-08
0.215103,0.000349771,0.00142189,8.96772e-08,1.09419e-09,4.28382e-08,1.34141e-10,0.251259,0.000148052,0.000292183,1.65117e-07,3.46224e-09,7.75197e-08,8.533e-10,0.336339,8.1859e-05,0.000115016,8.74311e-07,7.66457e-09,3.06255e-07,2.38146e-09,0.194559,0.00018957,0.000138399,2.57409e-06,2.18515e-07,8.53251e-07,6.60885e-08
0.214918,0.000371139,0.00158514,9.52409e-08,1.23671e-09,4.54736e-08,1.42527e-10,0.251124,0.000192242,0.000382652,2.14532e-07,4.57123e-09,1.00686e-07,1.10898e-09,0.336255,0.000116548,0.000164295,1.24675e-06,1.10631e-08,4.3609e-07,3.39852e-09,0.194425,0.000265808,0.000194848,3.61758e-06,3.11489e-07,1.19669e-06,9.29738e-08
0.214722,0.000393645,0.00175837,1.01107e-07,1.38808e-09,4.82517e-08,1.5137e-10,0.25095,0.000249527,0.000500123,2.78654e-07,6.0121e-09,1.30739e-07,1.44087e-09,0.336135,0.000165906,0.000234456,1.77687e-06,1.59093e-08,6.20889e-07,4.84622e-09,0.194237,0.000372575,0.000273998,5.08022e-06,4.42152e-07,1.67795e-06,1.30664e-07
0.214515,0.000417326,0.00194211,1.07288e-07,1.54878e-09,5.11777e-08,1.60692e-10,0.250723,0.000323725,0.000652599,3.61824e-07,7.88364e-09,1.69697e-07,1.87154e-09,0.335964,0.000236107,0.000334332,2.53134e-06,2.28162e-08,8.83839e-07,6.90685e-09,0.193975,0.000521975,0.00038494,7.1298e-06,6.25645e-07,2.35193e-06,1.83493e-07
