S_0,I_0,R_0,Q_0,D_0,Q_entry_0,D_entry_0,S_1,I_1,R_1,Q_1,D_1,Q_entry_1,D_entry_1,S_2,I_2,R_2,Q_2,D_2,Q_entry_2,D_entry_2,S_3,I_3,R_3,Q_3,D_3,Q_entry_3,D_entry_3
0.216715,0.000158973,0,0,0,0,0,0.25169,9.99495e-06,0,0,0,0,0,0.336536,9.64611e-07,0,0,0,0,0,0.194887,2.3932e-06,0,0,0,0,0
0.216631,0.000171488,7.14125e-05,1.67774e-08,0,1.67774e-08,0,0.251681,1.24537e-05,6.26381e-06,6.76546e-09,0,6.76546e-09,0,0.336535,1.36462e-06,5.84437e-07,5.03848e-09,0,5.03848e-09,0,0.194885,3.35522e-06,6.99865e-07,1.50863e-08,0,1.50863e-08,0
0.216541,0.000184953,0.000148455,2.65998e-08,2.09402e-11,1.80982e-08,2.09402e-11,0.25167,1.5517e-05,1.40703e-05,1.33907e-08,3.0037e-11,8.42978e-09,3.0037e-11,0.336533,1.93051e-06,1.41156e-06,1.18249e-08,1.94069e-11,7.12788e-09,1.94069e-11,0.194883,4.70392e-06,1.68144e-06,3.53164e-08,5.4494e-10,2.11507e-08,5.4494e-10
0.216443,0.000199435,0.000231551,3.29982e-08,5.414e-11,1.95192e-08,3.31998e-11,0.251656,1.93331e-05,2.37982e-05,2.03222e-08,8.94883e-11,1.05033e-08,5.94513e-11,0.336531,2.73106e-06,2.58197e-06,2.11071e-08,6.49531e-11,1.00837e-08,4.55462e-11,0.19488,6.59473e-06,3.05792e-06,6.28138e-08,1.82062e-09,2.96527e-08,1.27568e-09
0.216338,0.000215003,0.000321156,3.77687e-08,9.53258e-11,2.10475e-08,4.11857e-11,0.251639,2.40869e-05,3.59196e-05,2.79879e-08,1.79714e-10,1.30864e-08,9.02256e-11,0.336529,3.86356e-06,4.23801e-06,3.39418e-08,1.46252e-10,1.42652e-08,8.1299e-11,0.194875,9.24549e-06,4.98804e-06,1.00552e-07,4.08954e-09,4.1572e-08,2.26892e-09
0.216225,0.000231731,0.000417756,4.18291e-08,1.42466e-10,2.26905e-08,4.714e-11,0.251618,3.00081e-05,5.10221e-05,3.68267e-08,3.03974e-10,1.63041e-08,1.2426e-10,0.336525,5.46565e-06,6.58103e-06,5.1822e-08,2.76987e-10,2.01807e-08,1.30735e-10,0.194869,1.29616e-05,7.69428e-06,1.52698e-07,7.72164e-09,5.8282e-08,3.6321e-09
0.216103,0.000249696,0.000521872,4.5652e-08,1.94674e-10,2.44559e-08,5.22078e-11,0.251592,3.73827e-05,6.98378e-05,4.7316e-08,4.67475e-10,2.03121e-08,1.63502e-10,0.336519,7.73201e-06,9.89586e-06,7.68585e-08,4.76591e-10,2.85489e-08,1.99604e-10,0.19486,1.8171e-05,1.14885e-05,2.25087e-07,1.32373e-08,8.17075e-08,5.51566e-09
0.215971,0.00026898,0.000634061,4.94853e-08,2.51653e-10,2.6352e-08,5.69793e-11,0.25156,4.65663e-05,9.32778e-05,5.99991e-08,6.77547e-10,2.53039e-08,2.10071e-10,0.336511,1.0938e-05,1.45854e-05,1.12036e-07,7.72629e-10,4.03868e-08,2.96038e-10,0.194847,2.54735e-05,1.6808e-05,3.25897e-07,2.13677e-08,1.14547e-07,8.13045e-09
0.21583,0.000289668,0.000754914,5.34628e-08,3.13416e-10,2.83871e-08,6.17636e-11,0.251519,5.80007e-05,0.000122477,7.55156e-08,9.43928e-10,3.15202e-08,2.66382e-10,0.3365,1.5473e-05,2.12197e-05,1.61575e-07,1.20416e-09,5.71327e-08,4.31533e-10,0.194829,3.57096e-05,2.42656e-05,4.66589e-07,3.31396e-08,1.60581e-07,1.17719e-08
0.215677,0.000311846,0.000885063,5.76617e-08,3.80145e-10,3.05704e-08,6.67281e-11,0.251468,7.22347e-05,0.000158845,9.4633e-08,1.2792e-09,3.926e-08,3.35271e-10,0.336484,2.18878e-05,3.06048e-05,2.31445e-07,1.82651e-09,8.08207e-08,6.22345e-10,0.194804,5.00566e-05,3.47201e-05,6.63221e-07,4.99934e-08,2.25107e-07,1.68538e-08
