S_0,I_0,R_0,Q_0,D_0,Q_entry_0,D_entry_0,S_1,I_1,R_1,Q_1,D_1,Q_entry_1,D_entry_1,S_2,I_2,R_2,Q_2,D_2,Q_entry_2,D_entry_2,S_3,I_3,R_3,Q_3,D_3,Q_entry_3,D_entry_3
0.216711,0.000163212,0,0,0,0,0,0.251695,4.6931e-06,0,0,0,0,0,0.336536,8.35397e-07,0,0,0,0,0,0.194887,2.37534e-06,0,0,0,0,0
0.216623,0.000174997,7.59601e-05,2.57507e-08,0,2.57507e-08,0,0.251691,6.04064e-06,2.91715e-06,3.51219e-09,0,3.51219e-09,0,0.336535,1.18994e-06,5.03672e-07,4.31549e-09,0,4.31549e-09,0,0.194885,3.32857e-06,7.11938e-07,1.51698e-08,0,1.51698e-08,0
0.216529,0.000187595,0.000157417,4.14892e-08,9.26361e-11,2.761e-08,9.26361e-11,0.251685,7.77501e-06,6.67298e-06,6.95558e-09,1.65661e-11,4.52066e-09,1.65661e-11,0.336534,1.69494e-06,1.22141e-06,1.0129e-08,2.05681e-11,6.14697e-09,2.05681e-11,0.194883,4.66431e-06,1.70997e-06,3.5494e-08,5.46342e-10,2.12575e-08,5.46342e-10
0.216428,0.000201055,0.000244744,5.19597e-08,2.4189e-10,2.95976e-08,1.49254e-10,0.251678,1.00072e-05,1.15079e-05,1.06408e-08,4.93739e-11,5.81862e-09,3.28077e-11,0.336532,2.41425e-06,2.24405e-06,1.81022e-08,6.88441e-11,8.7557e-09,4.8276e-11,0.19488,6.53604e-06,3.10886e-06,6.30985e-08,1.82466e-09,2.97881e-08,1.27832e-09
0.21632,0.000215432,0.00033834,5.97268e-08,4.28811e-10,3.17214e-08,1.86921e-10,0.251669,1.288e-05,1.77314e-05,1.48661e-08,9.95637e-11,7.48913e-09,5.01898e-11,0.33653,3.43882e-06,3.70095e-06,2.91751e-08,1.55121e-10,1.24715e-08,8.62767e-11,0.194875,9.15881e-06,5.06946e-06,1.00958e-07,4.09716e-09,4.17417e-08,2.2725e-09
0.216205,0.000230779,0.000438631,6.61814e-08,6.43674e-10,3.39897e-08,2.14863e-10,0.251657,1.65771e-05,2.57419e-05,1.99454e-08,1.69683e-10,9.63905e-09,7.01198e-11,0.336526,4.89818e-06,5.77638e-06,4.46852e-08,2.94172e-10,1.77643e-08,1.39051e-10,0.194869,1.28339e-05,7.81712e-06,1.53239e-07,7.73318e-09,5.84917e-08,3.63602e-09
0.216081,0.000247152,0.000546067,7.20817e-08,8.81756e-10,3.6411e-08,2.38083e-10,0.251642,2.13346e-05,3.6052e-05,2.62335e-08,2.63761e-10,1.24058e-08,9.40774e-11,0.336521,6.9768e-06,8.7328e-06,6.65358e-08,5.07147e-10,2.5303e-08,2.12974e-10,0.19486,1.79833e-05,1.16676e-05,2.25773e-07,1.32521e-08,8.1962e-08,5.51891e-09
0.215948,0.000264612,0.000661127,7.78452e-08,1.14106e-09,3.89943e-08,2.59308e-10,0.251623,2.74564e-05,4.93212e-05,3.41534e-08,3.87498e-10,1.59663e-08,1.23737e-10,0.336514,9.93742e-06,1.2944e-05,9.74359e-08,8.24263e-10,3.60407e-08,3.17116e-10,0.194847,2.51982e-05,1.70633e-05,3.26731e-07,2.13833e-08,1.14848e-07,8.13125e-09
0.215807,0.000283218,0.000784315,8.37063e-08,1.42111e-09,4.1749e-08,2.80042e-10,0.251598,3.53329e-05,6.6398e-05,4.42254e-08,5.48591e-10,2.05477e-08,1.61093e-10,0.336504,1.41541e-05,1.89425e-05,1.41242e-07,1.28865e-09,5.13347e-08,4.64389e-10,0.194829,3.53067e-05,2.46241e-05,4.67556e-07,3.31506e-08,1.60926e-07,1.17673e-08
0.215655,0.000303032,0.000916165,8.98008e-08,1.72223e-09,4.46845e-08,3.01127e-10,0.251566,4.54658e-05,8.83737e-05,5.71027e-08,7.57191e-10,2.64423e-08,2.086e-10,0.336489,2.01597e-05,2.74865e-05,2.03447e-07,1.96183e-09,7.31174e-08,6.73176e-10,0.194804,4.94679e-05,3.52182e-05,6.64273e-07,4.99897e-08,2.25482e-07,1.68391e-08
