S_0,I_0,R_0,Q_0,D_0,Q_entry_0,D_entry_0,S_1,I_1,R_1,Q_1,D_1,Q_entry_1,D_entry_1,S_2,I_2,R_2,Q_2,D_2,Q_entry_2,D_entry_2,S_3,I_3,R_3,Q_3,D_3,Q_entry_3,D_entry_3
0.21672,0.000154603,0,0,0,0,0,0.251695,4.91341e-06,0,0,0,0,0,0.336536,8.35467e-07,0,0,0,0,0,0.194887,2.30048e-06,0,0,0,0,0
0.216638,0.000164279,7.14824e-05,1.90281e-08,0,1.90281e-08,0,0.25169,6.38011e-06,3.03355e-06,3.26599e-09,0,3.26599e-09,0,0.336535,1.19062e-06,5.02841e-07,4.43653e-09,0,4.43653e-09,0,0.194886,3.22855e-06,6.87918e-07,1.5042e-08,0,1.5042e-08,0
0.216552,0.000174529,0.000147447,3.05344e-08,9.47972e-11,2.0219e-08,9.47972e-11,0.251684,8.28452e-06,6.97361e-06,6.51723e-09,1.08935e-11,4.24092e-09,1.08935e-11,0.336534,1.69674e-06,1.21973e-06,1.0451e-08,1.85612e-11,6.32246e-09,1.85612e-11,0.194883,4.53102e-06,1.65373e-06,3.52495e-08,5.34274e-10,2.11104e-08,5.34274e-10
0.216461,0.000185381,0.000228156,3.80336e-08,2.46918e-10,2.14805e-08,1.52121e-10,0.251677,1.07572e-05,1.20904e-05,1.00491e-08,3.26313e-11,5.5068e-09,2.17378e-11,0.336532,2.418e-06,2.24162e-06,1.87355e-08,6.22851e-11,9.01008e-09,4.3724e-11,0.19488,6.3589e-06,3.00952e-06,6.27602e-08,1.78629e-09,2.96268e-08,1.25202e-09
0.216363,0.000196868,0.000313887,4.34347e-08,4.364e-10,2.28162e-08,1.89482e-10,0.251667,1.39676e-05,1.8735e-05,1.41544e-08,6.61495e-11,7.15042e-09,3.35183e-11,0.33653,3.44584e-06,3.69816e-06,3.0275e-08,1.40669e-10,1.28401e-08,7.83841e-11,0.194876,8.9241e-06,4.91257e-06,1.00571e-07,4.01545e-09,4.15787e-08,2.22916e-09
0.21626,0.000209019,0.00040493,4.77764e-08,6.5279e-10,2.42299e-08,2.1639e-10,0.251654,1.81357e-05,2.73629e-05,1.91497e-08,1.13361e-10,9.28442e-09,4.72112e-11,0.336526,4.91058e-06,5.77408e-06,4.64714e-08,2.67331e-10,1.82982e-08,1.26662e-10,0.194869,1.25239e-05,7.58364e-06,1.52885e-07,7.58762e-09,5.83517e-08,3.57216e-09
0.216151,0.000221869,0.000501594,5.16257e-08,8.90811e-10,2.57255e-08,2.3802e-10,0.251637,2.35467e-05,3.85656e-05,2.54018e-08,1.77233e-10,1.2055e-08,6.38726e-11,0.336521,6.99789e-06,8.73264e-06,6.93215e-08,4.61754e-10,2.60763e-08,1.94423e-10,0.19486,1.75756e-05,1.13325e-05,2.25597e-07,1.30179e-08,8.18899e-08,5.43029e-09
0.216035,0.000235449,0.000604201,5.52939e-08,1.14801e-09,2.7307e-08,2.57197e-10,0.251616,3.05707e-05,5.3111e-05,3.33562e-08,2.61959e-10,1.56517e-08,8.47261e-11,0.336514,9.97231e-06,1.2949e-05,1.01669e-07,7.51776e-10,3.71604e-08,2.90022e-10,0.194848,2.46644e-05,1.65937e-05,3.26975e-07,2.10308e-08,1.14921e-07,8.01292e-09
0.215911,0.000249795,0.000713089,5.8954e-08,1.42348e-09,2.89784e-08,2.75472e-10,0.251588,3.96875e-05,7.19954e-05,4.3569e-08,3.73217e-10,2.03206e-08,1.11257e-10,0.336503,1.42108e-05,1.89576e-05,1.47566e-07,1.17713e-09,5.29553e-08,4.25356e-10,0.19483,3.46112e-05,2.39772e-05,4.68618e-07,3.26446e-08,1.61272e-07,1.16137e-08
0.215781,0.00026494,0.000828611,6.27037e-08,1.71719e-09,3.0744e-08,2.93707e-10,0.251551,5.15192e-05,9.65116e-05,5.67472e-08,5.18538e-10,2.63807e-08,1.45322e-10,0.336489,2.02503e-05,2.75203e-05,2.12784e-07,1.79451e-09,7.54626e-08,6.17376e-10,0.194806,4.85672e-05,3.43385e-05,6.66797e-07,4.92893e-08,2.26311e-07,1.66447e-08
