S_0,I_0,R_0,Q_0,D_0,Q_entry_0,D_entry_0,S_1,I_1,R_1,Q_1,D_1,Q_entry_1,D_entry_1,S_2,I_2,R_2,Q_2,D_2,Q_entry_2,D_entry_2,S_3,I_3,R_3,Q_3,D_3,Q_entry_3,D_entry_3
0.216715,0.000159393,0,0,0,0,0,0.25169,9.59432e-06,0,0,0,0,0,0.336536,9.30775e-07,0,0,0,0,0,0.194887,2.36999e-06,0,0,0,0,0
0.216628,0.000170708,7.56681e-05,2.01317e-08,0,2.01317e-08,0,0.251682,1.19645e-05,5.9647e-06,5.99282e-09,0,5.99282e-09,0,0.336535,1.31905e-06,5.64677e-07,4.84801e-09,0,4.84801e-09,0,0.194885,3.32349e-06,6.95014e-07,1.52255e-08,0,1.52255e-08,0
0.216535,0.00018279,0.000156717,3.25138e-08,1.56489e-10,2.15608e-08,1.56489e-10,0.251671,1.49198e-05,1.34042e-05,1.21322e-08,1.79212e-11,7.47327e-09,1.79212e-11,0.336534,1.86928e-06,1.36518e-06,1.14337e-08,1.64922e-11,6.87035e-09,1.64922e-11,0.194883,4.66059e-06,1.67003e-06,3.56313e-08,5.64182e-10,2.13511e-08,5.64182e-10
0.216435,0.000195683,0.000243507,4.07765e-08,4.09228e-10,2.30868e-08,2.52739e-10,0.251658,1.86046e-05,2.26824e-05,1.87509e-08,5.42016e-11,9.31924e-09,3.62804e-11,0.336532,2.64904e-06,2.49986e-06,2.04986e-08,5.53879e-11,9.73629e-09,3.88957e-11,0.19488,6.53559e-06,3.03767e-06,6.33599e-08,1.8845e-09,2.99411e-08,1.32032e-09
0.216328,0.000209437,0.000336421,4.69004e-08,7.26195e-10,2.47152e-08,3.16967e-10,0.251642,2.31986e-05,3.42528e-05,2.6198e-08,1.10275e-10,1.16208e-08,5.60734e-11,0.336529,3.75405e-06,4.10809e-06,3.30927e-08,1.25121e-10,1.37977e-08,6.97332e-11,0.194875,9.16484e-06,4.95586e-06,1.01412e-07,4.2323e-09,4.19867e-08,2.3478e-09
0.216214,0.000224102,0.000435868,5.19694e-08,1.09076e-09,2.64524e-08,3.6457e-10,0.251622,2.89256e-05,4.86809e-05,3.48569e-08,1.88618e-10,1.44903e-08,7.83433e-11,0.336525,5.31996e-06,6.38741e-06,5.07028e-08,2.37698e-10,1.95532e-08,1.12576e-10,0.194869,1.28517e-05,7.64605e-06,1.53993e-07,7.99013e-09,5.88778e-08,3.75783e-09
0.216092,0.000239728,0.000542279,5.65794e-08,1.49474e-09,2.83045e-08,4.03972e-10,0.251597,3.60646e-05,6.66713e-05,4.51657e-08,2.92856e-10,1.80676e-08,1.04237e-10,0.33652,7.539e-06,9.6177e-06,7.5435e-08,4.10181e-10,2.77094e-08,1.72483e-10,0.19486,1.80214e-05,1.14187e-05,2.26994e-07,1.36963e-08,8.25632e-08,5.70621e-09
0.215962,0.000256371,0.00065611,6.10612e-08,1.93454e-09,3.02782e-08,4.39807e-10,0.251565,4.49622e-05,8.91022e-05,5.76389e-08,4.27921e-10,2.25267e-08,1.35065e-10,0.336512,1.06835e-05,1.41956e-05,1.10273e-07,6.668e-10,3.92675e-08,2.56619e-10,0.194847,2.527e-05,1.67093e-05,3.28675e-07,2.21076e-08,1.15775e-07,8.41127e-09
0.215822,0.000274085,0.000777843,6.56017e-08,2.40919e-09,3.23802e-08,4.74646e-10,0.251526,5.60502e-05,0.000117067,7.28935e-08,6.00286e-10,2.80844e-08,1.72366e-10,0.336501,1.51393e-05,2.06831e-05,1.59444e-07,1.04193e-09,5.56459e-08,3.75133e-10,0.194829,3.54331e-05,2.41281e-05,4.70609e-07,3.42866e-08,1.62343e-07,1.2179e-08
0.215673,0.000292926,0.000907988,7.03092e-08,2.91913e-09,3.46175e-08,5.0994e-10,0.251478,6.98651e-05,0.000151929,9.16783e-08,8.1827e-10,3.50102e-08,2.17983e-10,0.336485,2.14531e-05,2.98766e-05,2.28936e-07,1.58434e-09,7.88544e-08,5.42405e-10,0.194805,4.96813e-05,3.45309e-05,6.69021e-07,5.1725e-08,2.27633e-07,1.74384e-08
