S_0,I_0,R_0,Q_0,D_0,Q_entry_0,D_entry_0,S_1,I_1,R_1,Q_1,D_1,Q_entry_1,D_entry_1,S_2,I_2,R_2,Q_2,D_2,Q_entry_2,D_entry_2,S_3,I_3,R_3,Q_3,D_3,Q_entry_3,D_entry_3
0.216716,0.000157858,0,0,0,0,0,0.251696,3.89746e-06,0,0,0,0,0,0.336536,8.43436e-07,0,0,0,0,0,0.194887,2.27025e-06,0,0,0,0,0
0.216633,0.000168977,7.1777e-05,1.75975e-08,0,1.75975e-08,0,0.251692,5.09441e-06,2.37116e-06,2.56688e-09,0,2.56688e-09,0,0.336535,1.20088e-06,5.07758e-07,4.46248e-09,0,4.46248e-09,0,0.194886,3.1883e-06,6.80213e-07,1.44671e-08,0,1.44671e-08,0
0.216545,0.000180844,0.000148618,2.84361e-08,4.27614e-11,1.88369e-08,4.27614e-11,0.251687,6.6589e-06,5.47127e-06,5.16936e-09,1.13251e-11,3.3552e-09,1.13251e-11,0.336534,1.7098e-06,1.23101e-06,1.04836e-08,1.88516e-11,6.35365e-09,1.88516e-11,0.194883,4.4776e-06,1.63585e-06,3.3903e-08,5.2607e-10,2.03174e-08,5.2607e-10
0.21645,0.000193507,0.000230859,3.56713e-08,1.1186e-10,2.01599e-08,6.9099e-11,0.251681,8.70372e-06,9.52395e-06,8.03904e-09,3.41324e-11,4.38558e-09,2.28073e-11,0.336532,2.43438e-06,2.26107e-06,1.87488e-08,6.31394e-11,9.04625e-09,4.42878e-11,0.19488,6.28822e-06,2.97827e-06,6.03707e-08,1.75889e-09,2.85334e-08,1.23282e-09
0.216348,0.000207012,0.000318862,4.10296e-08,1.98541e-10,2.15715e-08,8.66805e-11,0.251673,1.13763e-05,1.48215e-05,1.14139e-08,6.96007e-11,5.73231e-09,3.54684e-11,0.33653,3.46602e-06,3.72791e-06,3.02318e-08,1.42343e-10,1.28799e-08,7.92036e-11,0.194876,8.83094e-06,4.86383e-06,9.67638e-08,3.95416e-09,4.00716e-08,2.19527e-09
0.21624,0.000221408,0.000413007,4.54579e-08,2.98242e-10,2.30769e-08,9.9701e-11,0.251663,1.48692e-05,2.1746e-05,1.55593e-08,1.19959e-10,7.49247e-09,5.03584e-11,0.336526,4.93483e-06,5.81662e-06,4.63175e-08,2.70056e-10,1.83382e-08,1.27713e-10,0.194869,1.24017e-05,7.51215e-06,1.47143e-07,7.4728e-09,5.6275e-08,3.51864e-09
0.216124,0.000236747,0.000513701,4.94783e-08,4.08704e-10,2.46818e-08,1.10462e-10,0.251649,1.94339e-05,3.07967e-05,2.07895e-08,1.88607e-10,9.79289e-09,6.86479e-11,0.336521,7.02601e-06,8.79069e-06,6.8976e-08,4.65723e-10,2.61094e-08,1.95667e-10,0.194861,1.7416e-05,1.12316e-05,2.17207e-07,1.28234e-08,7.90295e-08,5.35058e-09
0.216,0.000253082,0.00062137,5.33813e-08,5.28935e-10,2.63917e-08,1.20231e-10,0.251631,2.5399e-05,4.2626e-05,2.74923e-08,2.80331e-10,1.27992e-08,9.17235e-11,0.336514,1.00033e-05,1.30253e-05,1.0101e-07,7.57109e-10,3.71735e-08,2.91386e-10,0.194848,2.44571e-05,1.64551e-05,3.14955e-07,2.07217e-08,1.10983e-07,7.89833e-09
0.215867,0.000270468,0.000736469,5.73313e-08,6.5865e-10,2.82127e-08,1.29715e-10,0.251608,3.31933e-05,5.80863e-05,3.61581e-08,4.01627e-10,1.67279e-08,1.21296e-10,0.336503,1.42419e-05,1.90545e-05,1.4641e-07,1.18382e-09,5.29256e-08,4.26714e-10,0.194831,3.43438e-05,2.37907e-05,4.51617e-07,3.21745e-08,1.55852e-07,1.14528e-08
0.215726,0.000288962,0.000859475,6.14241e-08,7.97964e-10,3.01508e-08,1.39314e-10,0.251578,4.33768e-05,7.82911e-05,4.74162e-08,5.61157e-10,2.18613e-08,1.5953e-10,0.336489,2.0276e-05,2.76385e-05,2.10853e-07,1.80233e-09,7.53514e-08,6.18504e-10,0.194806,4.82249e-05,3.40919e-05,6.42954e-07,4.85967e-08,2.18855e-07,1.64222e-08
0.215575,0.000308621,0.000990892,6.57183e-08,9.47223e-10,3.22125e-08,1.49259e-10,0.251538,5.66798e-05,0.000104695,6.20798e-08,7.70358e-10,2.85682e-08,2.09201e-10,0.336468,2.88659e-05,3.98597e-05,3.0242e-07,2.69307e-09,1.07277e-07,8.90741e-10,0.194772,6.77123e-05,4.85569e-05,9.11091e-07,7.19766e-08,3.07312e-07,2.33799e-08
0.215413,0.000329505,0.00113125,7.02523e-08,1.10692e-09,3.4404e-08,1.59694e-10,0.251486,7.40543e-05,0.000139196,8.12047e-08,1.04425e-09,3.73295e-08,2.73897e-10,0.336438,4.1093e-05,5.72586e-05,4.32613e-07,3.97063e-09,1.52725e-07,1.27756e-09,0.194724,9.5066e-05,6.88673e-05,1.28707e-06,1.05107e-07,4.31495e-07,3.31302e-08
0.215241,0.000351673,0.00128111,7.50535e-08,1.27763e-09,3.6732e-08,1.70711e-10,0.251418,9.67408e-05,0.000184273,1.06164e-07,1.40253e-09,4.87725e-08,3.58276e-10,0.336396,5.84955e-05,8.20274e-05,6.17797e-07,5.79819e-09,2.17416e-07,1.82756e-09,0.194657,0.000133453,9.73827e-05,1.81446e-06,1.51909e-07,6.05806e-07,4.68021e-08
0.215058,0.000375185,0.00144104,8.01437e-08,1.46001e-09,3.92032e-08,1.82378e-10,0.25133,0.000126353,0.000243159,1.38746e-07,1.87093e-09,6.37139e-08,4.68398e-10,0.336335,8.32603e-05,0.000117286,8.81258e-07,8.40805e-09,3.0949e-07,2.60986e-09,0.194562,0.000187308,0.000137413,2.55433e-06,2.17888e-07,8.50427e-07,6.59794e-08
0.214862,0.000400103,0.00161167,8.55414e-08,1.65475e-09,4.18244e-08,1.94747e-10,0.251214,0.00016499,0.000320071,1.81276e-07,2.48308e-09,8.32169e-08,6.12149e-10,0.33625,0.000118494,0.000167471,1.25612e-06,1.21309e-08,4.40517e-07,3.72284e-09,0.194429,0.00026283,0.000193597,3.5923e-06,3.10772e-07,1.19361e-06,9.28835e-08
0.214654,0.000426487,0.00179364,9.12636e-08,1.86262e-09,4.46021e-08,2.07864e-10,0.251063,0.000215371,0.000420501,2.36781e-07,3.28287e-09,1.08663e-07,7.99792e-10,0.336127,0.000168607,0.000238894,1.78946e-06,1.74373e-08,6.26933e-07,5.30641e-09,0.194243,0.000368677,0.000272434,5.0483e-06,4.41399e-07,1.67488e-06,1.30628e-07
0.214432,0.000454394,0.0019876,9.7326e-08,2.08439e-09,4.75432e-08,2.21768e-10,0.250867,0.000281018,0.000551598,3.0919e-07,4.32755e-09,1.41844e-07,1.04468e-09,0.335954,0.00023985,0.000340523,2.54821e-06,2.49968e-08,8.92072e-07,7.55951e-09,0.193982,0.0005169,0.000383022,7.09009e-06,6.24972e-07,2.34939e-06,1.83572e-07
0.214196,0.000483884,0.00219425,1.03744e-07,2.32089e-09,5.06543e-08,2.365e-10,0.25061,0.000366474,0.000722655,4.03601e-07,5.6917e-09,1.8508e-07,1.36415e-09,0.335707,0.000341069,0.000485095,3.62736e-06,3.57616e-08,1.26901e-06,1.07648e-08,0.193616,0.000724222,0.00053807,9.95201e-06,8.8279e-07,3.29393e-06,2.57818e-07
0.213945,0.00051501,0.00241432,1.10532e-07,2.57298e-09,5.39417e-08,2.52096e-10,0.250276,0.000477575,0.00094573,5.26608e-07,7.47239e-09,2.41362e-07,1.78069e-09,0.335356,0.000484744,0.000690677,5.16164e-06,5.10852e-08,1.80454e-06,1.53236e-08,0.193105,0.00101373,0.000755307,1.39607e-05,1.24468e-06,4.61509e-06,3.61887e-07
0.213678,0.000547825,0.00264854,1.17705e-07,2.84157e-09,5.74116e-08,2.68591e-10,0.249841,0.000621775,0.00123643,6.86715e-07,9.79579e-09,3.14533e-07,2.3234e-09,0.334858,0.000688423,0.000982862,7.34177e-06,7.28904e-08,2.5647e-06,2.18051e-08,0.192392,0.00141709,0.00105939,1.95701e-05,1.75233e-06,6.46e-06,5.07656e-07
0.213394,0.000582377,0.00289769,1.25276e-07,3.12759e-09,6.10697e-08,2.86021e-10,0.249275,0.000808531,0.00161491,8.94842e-07,1.28256e-08,4.09504e-07,3.0298e-09,0.334152,0.000976632,0.00139782,1.04371e-05,1.03905e-07,3.64233e-06,3.1015e-08,0.191398,0.00197725,0.00148446,2.7408e-05,2.46396e-06,9.03038e-06,7.1163e-07
0.213093,0.000618707,0.00316255,1.33257e-07,3.43201e-09,6.49213e-08,3.04418e-10,0.248542,0.00104972,0.00210707,1.16494e-06,1.67736e-08,5.32502e-07,3.94806e-09,0.333152,0.00138339,0.00198649,1.48267e-05,1.47997e-07,5.1672e-06,4.40911e-08,0.190018,0.00275168,0.00207756,3.8338e-05,3.46061e-06,1.26e-05,9.96644e-07
0.212809,0.000620686,0.00344393,1.41661e-07,3.75582e-09,6.89713e-08,3.23812e-10,0.247892,0.00105996,0.00274604,1.51467e-06,2.19134e-08,6.91348e-07,5.13971e-09,0.332321,0.00137401,0.00282035,2.10413e-05,2.10631e-07,7.31927e-06,6.26347e-08,0.189251,0.00267696,0.00290296,5.35371e-05,4.8547e-06,1.7535e-05,1.39409e-06
0.212526,0.000622294,0.00372622,1.46466e-07,4.10006e-09,6.9192e-08,3.44233e-10,0.247238,0.0010686,0.00339134,1.7686e-06,2.85961e-08,6.98097e-07,6.68275e-09,0.331498,0.00136265,0.003649,2.67432e-05,2.99519e-07,7.26969e-06,8.8888e-08,0.188508,0.00260125,0.00370635,6.73339e-05,6.80148e-06,1.70589e-05,1.94678e-06
0.212241,0.000623526,0.00400924,1.49266e-07,4.45597e-09,6.93712e-08,3.55908e-10,0.24658,0.00107556,0.00404197,1.95375e-06,3.63992e-08,7.03782e-07,7.80307e-09,0.330684,0.00134935,0.00447121,3.19603e-05,4.12495e-07,7.20955e-06,1.12976e-07,0.187788,0.00252485,0.00448739,7.98076e-05,9.24996e-06,1.65764e-05,2.44848e-06
0.211957,0.00062438,0.00429282,1.50931e-07,4.81868e-09,6.95085e-08,3.62713e-10,0.24592,0.00108081,0.00469689,2.08919e-06,4.50191e-08,7.08368e-07,8.61995e-09,0.329879,0.00133421,0.00528578,3.67182e-05,5.4751e-07,7.13922e-06,1.35015e-07,0.187092,0.00244802,0.00524585,9.10344e-05,1.2152e-05,1.60896e-05,2.90206e-06
0.211672,0.000624853,0.00457679,1.51934e-07,5.18544e-09,6.96037e-08,3.66758e-10,0.245258,0.0010843,0.00535505,2.18836e-06,5.42366e-08,7.11823e-07,9.21751e-09,0.329086,0.0013173,0.00609157,4.10416e-05,7.02625e-07,7.05909e-06,1.55115e-07,0.18642,0.00237104,0.00598157,0.000101088,1.54623e-05,1.56e-05,3.3103e-06
0.211388,0.000624944,0.00486097,1.52534e-07,5.55463e-09,6.96564e-08,3.69196e-10,0.244596,0.00108602,0.00601535,2.26076e-06,6.38917e-08,7.14125e-07,9.65509e-09,0.328305,0.00129872,0.00688749,4.49534e-05,8.76004e-07,6.96963e-06,1.73379e-07,0.185772,0.00229413,0.00669447,0.000110038,1.91382e-05,1.51094e-05,3.67587e-06
0.211104,0.000624654,0.0051452,1.52871e-07,5.92529e-09,6.96666e-08,3.70654e-10,0.243934,0.00108595,0.00667673,2.31306e-06,7.38662e-08,7.15258e-07,9.9745e-09,0.327536,0.00127858,0.00767249,4.84754e-05,1.06591e-06,6.87133e-06,1.89904e-07,0.185146,0.00221754,0.00738454,0.000117952,2.31395e-05,1.46193e-05,4.00132e-06
0.210821,0.000623983,0.00542929,1.53023e-07,6.29676e-09,6.96343e-08,3.71474e-10,0.243275,0.0010841,0.00733807,2.34998e-06,8.40715e-08,7.15214e-07,1.02052e-08,0.326781,0.00125697,0.00844562,5.16284e-05,1.27069e-06,6.76475e-06,2.04783e-07,0.184544,0.00214147,0.00805186,0.000124896,2.74286e-05,1.41312e-05,4.28912e-06
0.210538,0.000622932,0.00571308,1.53031e-07,6.6686e-09,6.95594e-08,3.71843e-10,0.242618,0.00108047,0.0079983,2.37485e-06,9.44396e-08,7.13991e-07,1.03681e-08,0.326041,0.00123402,0.00920596,5.44322e-05,1.48879e-06,6.65044e-06,2.18102e-07,0.183964,0.00206611,0.00869656,0.000130933,3.19703e-05,1.36465e-05,4.54163e-06
0.210256,0.000621504,0.0059964,1.52918e-07,7.04046e-09,6.94423e-08,3.71862e-10,0.241966,0.00107508,0.00865633,2.39003e-06,1.04917e-07,7.11599e-07,1.04779e-08,0.325316,0.00120985,0.00995268,5.69057e-05,1.71874e-06,6.52902e-06,2.29947e-07,0.183406,0.00199165,0.00931882,0.000136121,3.67314e-05,1.31663e-05,4.76113e-06
0.209975,0.000619703,0.00627906,1.52698e-07,7.41205e-09,6.92831e-08,3.71588e-10,0.241318,0.00106797,0.00931108,2.39722e-06,1.15462e-07,7.08051e-07,1.05449e-08,0.324606,0.00118456,0.010685,5.9067e-05,1.95914e-06,6.4011e-06,2.40396e-07,0.18287,0.00191824,0.00991891,0.000140519,4.16812e-05,1.26917e-05,4.9498e-06
0.209696,0.000617533,0.00656091,1.52376e-07,7.7831e-09,6.90824e-08,3.71051e-10,0.240676,0.00105919,0.00996151,2.39761e-06,1.26039e-07,7.0337e-07,1.05765e-08,0.323913,0.00115829,0.0114023,6.09335e-05,2.20866e-06,6.26731e-06,2.49526e-07,0.182355,0.00184603,0.0104971,0.000144181,4.67909e-05,1.2224e-05,5.10972e-06
0.209417,0.000615,0.00684176,1.51959e-07,8.15337e-09,6.88405e-08,3.70271e-10,0.240042,0.00104879,0.0106066,2.39211e-06,1.36617e-07,6.97586e-07,1.05783e-08,0.323237,0.00113115,0.0121039,6.25219e-05,2.46607e-06,6.12831e-06,2.57411e-07,0.181861,0.00177514,0.0110538,0.000147159,5.20338e-05,1.17638e-05,5.24288e-06
0.209141,0.000612109,0.00712147,1.51449e-07,8.52263e-09,6.85581e-08,3.69258e-10,0.239415,0.00103683,0.0112454,2.38137e-06,1.47171e-07,6.90735e-07,1.0554e-08,0.322578,0.00110327,0.0127892,6.38483e-05,2.73019e-06,5.98474e-06,2.64121e-07,0.181388,0.00170569,0.0115892,0.000149505,5.7385e-05,1.13121e-05,5.35119e-06
0.208865,0.000608868,0.00739986,1.50849e-07,8.89065e-09,6.82358e-08,3.68019e-10,0.238797,0.00102339,0.0118768,2.3659e-06,1.57678e-07,6.8286e-07,1.05066e-08,0.321936,0.00107477,0.0134579,6.49285e-05,2.99992e-06,5.83723e-06,2.69725e-07,0.180934,0.00163777,0.012104,0.000151265,6.28215e-05,1.08695e-05,5.43648e-06
