S_0,I_0,R_0,Q_0,D_0,Q_entry_0,D_entry_0,S_1,I_1,R_1,Q_1,D_1,Q_entry_1,D_entry_1,S_2,I_2,R_2,Q_2,D_2,Q_entry_2,D_entry_2,S_3,I_3,R_3,Q_3,D_3,Q_entry_3,D_entry_3
0.216704,0.000170521,0,0,0,0,0,0.251682,1.70593e-05,0,0,0,0,0,0.336536,9.86274e-07,0,0,0,0,0,0.194887,2.29294e-06,0,0,0,0,0
0.216613,0.000180229,8.07452e-05,2.23738e-08,0,2.23738e-08,0,0.251668,2.07631e-05,1.10772e-05,1.09703e-08,0,1.09703e-08,0,0.336535,1.3927e-06,5.97583e-07,5.23868e-09,0,5.23868e-09,0,0.194886,3.2211e-06,6.64595e-07,1.43763e-08,0,1.43763e-08,0
0.216518,0.00019045,0.000166098,3.50505e-08,1.15259e-10,2.36475e-08,1.15259e-10,0.25165,2.52701e-05,2.45611e-05,2.24947e-08,2.85516e-11,1.33522e-08,2.85516e-11,0.336533,1.96662e-06,1.44175e-06,1.2285e-08,2.02362e-11,7.39747e-09,2.02362e-11,0.194883,4.52493e-06,1.59856e-06,3.36882e-08,5.31896e-10,2.01956e-08,5.31896e-10
0.216417,0.000201205,0.000256297,4.28523e-08,2.95821e-10,2.49886e-08,1.80563e-10,0.251628,3.07539e-05,4.09736e-05,3.49973e-08,8.70968e-11,1.62505e-08,5.85452e-11,0.336531,2.77702e-06,2.6341e-06,2.19075e-08,6.76914e-11,1.04459e-08,4.74552e-11,0.19488,6.35649e-06,2.91091e-06,5.99876e-08,1.77829e-09,2.83704e-08,1.2464e-09
0.21631,0.000212518,0.000351592,4.82398e-08,5.16575e-10,2.63998e-08,2.20754e-10,0.251601,3.74253e-05,6.09488e-05,4.89433e-08,1.78182e-10,1.97769e-08,9.10848e-11,0.336528,3.92136e-06,4.31808e-06,3.51895e-08,1.52317e-10,1.47504e-08,8.46252e-11,0.194876,8.92935e-06,4.75476e-06,9.61539e-08,3.99772e-09,3.98539e-08,2.21943e-09
0.216198,0.000224412,0.000452247,5.24699e-08,7.65082e-10,2.78841e-08,2.48507e-10,0.251569,4.55405e-05,8.52584e-05,6.48559e-08,3.05563e-10,2.40671e-08,1.27381e-10,0.336524,5.53721e-06,6.69625e-06,5.36595e-08,2.88248e-10,2.08286e-08,1.35932e-10,0.194869,1.25434e-05,7.34523e-06,1.46228e-07,7.55523e-09,5.59852e-08,3.55751e-09
0.216079,0.00023691,0.000558536,5.61864e-08,1.03538e-09,2.94447e-08,2.70299e-10,0.251529,5.54103e-05,0.00011484,8.3336e-08,4.74358e-10,2.92857e-08,1.68796e-10,0.336519,7.81883e-06,1.00546e-05,7.94743e-08,4.95527e-10,2.94114e-08,2.07279e-10,0.194861,1.76201e-05,1.09844e-05,2.15884e-07,1.29654e-08,7.86449e-08,5.41016e-09
0.215953,0.000250034,0.000670745,5.97203e-08,1.32482e-09,3.10845e-08,2.89444e-10,0.251481,6.74117e-05,0.000150833,1.05084e-07,6.9125e-10,3.56327e-08,2.16892e-10,0.336511,1.10405e-05,1.47971e-05,1.15678e-07,8.02524e-10,4.15304e-08,3.06997e-10,0.194848,2.47507e-05,1.60968e-05,3.13087e-07,2.09527e-08,1.10474e-07,7.98729e-09
0.215821,0.000263809,0.00078917,6.32435e-08,1.63247e-09,3.28066e-08,3.07649e-10,0.251423,8.20012e-05,0.000194623,1.30926e-07,9.64745e-10,4.33504e-08,2.73494e-10,0.336499,1.55893e-05,2.14938e-05,1.66567e-07,1.24937e-09,5.86424e-08,4.46846e-10,0.194831,3.4766e-05,2.32783e-05,4.49022e-07,3.25363e-08,1.55182e-07,1.15836e-08
0.215682,0.000278258,0.00091412,6.68465e-08,1.95827e-09,3.4614e-08,3.25799e-10,0.251352,9.97318e-05,0.000247891,1.61845e-07,1.3055e-09,5.27325e-08,3.40752e-10,0.336484,2.20117e-05,3.09499e-05,2.38207e-07,1.89279e-09,8.28037e-08,6.43423e-10,0.194807,4.88317e-05,3.3366e-05,6.39395e-07,4.91493e-08,2.17976e-07,1.6613e-08
