S_0,I_0,R_0,Q_0,D_0,Q_entry_0,D_entry_0,S_1,I_1,R_1,Q_1,D_1,Q_entry_1,D_entry_1,S_2,I_2,R_2,Q_2,D_2,Q_entry_2,D_entry_2,S_3,I_3,R_3,Q_3,D_3,Q_entry_3,D_entry_3
0.216718,0.000156057,0,0,0,0,0,0.251688,1.18366e-05,0,0,0,0,0,0.336536,9.72051e-07,0,0,0,0,0,0.194887,2.42992e-06,0,0,0,0,0
0.216637,0.000167512,7.00966e-05,1.64092e-08,0,1.64092e-08,0,0.251677,1.4631e-05,7.45798e-06,8.29096e-09,0,8.29096e-09,0,0.336535,1.37422e-06,5.89169e-07,4.91092e-09,0,4.91092e-09,0,0.194885,3.40347e-06,7.08405e-07,1.53076e-08,0,1.53076e-08,0
0.216549,0.000179775,0.000145347,2.6025e-08,3.86052e-11,1.76137e-08,3.86052e-11,0.251665,1.80845e-05,1.66788e-05,1.63411e-08,2.43338e-11,1.02483e-08,2.43338e-11,0.336533,1.94277e-06,1.42241e-06,1.15179e-08,2.1007e-11,6.94271e-09,2.1007e-11,0.194883,4.76705e-06,1.70102e-06,3.57957e-08,5.60619e-10,2.14406e-08,5.60619e-10
0.216455,0.000192899,0.00022611,3.22436e-08,9.98333e-11,1.89032e-08,6.12281e-11,0.251649,2.23523e-05,2.80777e-05,2.46761e-08,7.22947e-11,1.26673e-08,4.79609e-11,0.336531,2.74653e-06,2.60067e-06,2.05455e-08,7.02761e-11,9.81509e-09,4.92691e-11,0.19488,6.67689e-06,3.09169e-06,6.35991e-08,1.87158e-09,3.00306e-08,1.31097e-09
0.216355,0.000206936,0.00031277,3.68111e-08,1.75692e-10,2.02831e-08,7.58583e-11,0.25163,2.76262e-05,4.21678e-05,3.37907e-08,1.44718e-10,1.56567e-08,7.24237e-11,0.336529,3.88282e-06,4.26669e-06,3.30167e-08,1.58162e-10,1.38758e-08,8.78859e-11,0.194875,9.3518e-06,5.03986e-06,1.01704e-07,4.20081e-09,4.20619e-08,2.32922e-09
0.216247,0.000221945,0.000405739,4.06285e-08,2.62296e-10,2.17591e-08,8.66042e-11,0.251606,3.41426e-05,5.95833e-05,4.41829e-08,2.43893e-10,1.93508e-08,9.91749e-11,0.336525,5.48917e-06,6.62221e-06,5.03759e-08,2.99395e-10,1.96165e-08,1.41233e-10,0.194868,1.30982e-05,7.76882e-06,1.54288e-07,7.92556e-09,5.89128e-08,3.72475e-09
0.216131,0.000237985,0.00050545,4.41634e-08,3.57881e-10,2.33373e-08,9.55851e-11,0.251576,4.21931e-05,8.11073e-05,5.63843e-08,3.73569e-10,2.39151e-08,1.29676e-10,0.336519,7.76001e-06,9.95247e-06,7.46637e-08,5.14883e-10,2.77319e-08,2.15489e-10,0.194859,1.83451e-05,1.15913e-05,2.27202e-07,1.35761e-08,8.25136e-08,5.65059e-09
0.216007,0.000255117,0.000612368,4.7662e-08,4.61783e-10,2.50238e-08,1.03902e-10,0.25154,5.21377e-05,0.000107707,7.099e-08,5.39056e-10,2.95542e-08,1.65487e-10,0.336511,1.09702e-05,1.46607e-05,1.08764e-07,8.34266e-10,3.92045e-08,3.19383e-10,0.194846,2.56932e-05,1.69454e-05,3.28632e-07,2.18971e-08,1.15567e-07,8.32094e-09
0.215874,0.000273406,0.000726983,5.12568e-08,5.73915e-10,2.68252e-08,1.12133e-10,0.251494,6.44195e-05,0.000140576,8.86891e-08,7.4741e-10,3.65198e-08,2.08354e-10,0.3365,1.5508e-05,2.13167e-05,1.5675e-07,1.29952e-09,5.54225e-08,4.65249e-10,0.194829,3.59834e-05,2.44442e-05,4.70042e-07,3.39328e-08,1.61857e-07,1.20357e-08
0.215731,0.000292919,0.000849815,5.50226e-08,6.94505e-10,2.87483e-08,1.2059e-10,0.251439,7.95845e-05,0.000181189,1.10299e-07,1.00771e-09,4.51226e-08,2.603e-10,0.336484,2.19224e-05,3.07263e-05,2.24382e-07,1.97003e-09,7.83483e-08,6.70517e-10,0.194803,5.03926e-05,3.49466e-05,6.67477e-07,5.11473e-08,2.26682e-07,1.72146e-08
