0-20,20-40,40-65,65-inf,total
0,0.285714286,0.857142858,1.285714287,2.428571431
0,0.285714286,0.857142858,1.285714287,2.428571431
0,0.285714286,0.857142858,1.285714287,2.428571431
0,0.285714286,0.857142858,1.285714287,2.428571431
0,0.285714286,0.857142858,1.285714287,2.428571431
0,0.285714286,0.857142858,1.285714287,2.428571431
0,0.285714286,0.857142858,1.285714287,2.428571431
0,0.142857143,3.428571429,10.000000001,13.571428573
0,0.142857143,3.428571429,10.000000001,13.571428573
0,0.142857143,3.428571429,10.000000001,13.571428573
0,0.142857143,3.428571429,10.000000001,13.571428573
0,0.142857143,3.428571429,10.000000001,13.571428573
0,0.142857143,3.428571429,10.000000001,13.571428573
0,0.142857143,3.428571429,10.000000001,13.571428573
0.871227364,1.597250168,16.262910798,43.125754528,61.857142858
0.871227364,1.597250168,16.262910798,43.125754528,61.857142858
0.871227364,1.597250168,16.262910798,43.125754528,61.857142858
0.871227364,1.597250168,16.262910798,43.125754528,61.857142858
0.871227364,1.597250168,16.262910798,43.125754528,61.857142858
0.871227364,1.597250168,16.262910798,43.125754528,61.857142858
0.871227364,1.597250168,16.262910798,43.125754528,61.857142858
1.142857143,8.285714286,65.28571428,166.71428572,241.428571429
1.142857143,8.285714286,65.28571428,166.71428572,241.428571429
1.142857143,8.285714286,65.28571428,166.71428572,241.428571429
1.142857143,8.285714286,65.28571428,166.71428572,241.428571429
1.142857143,8.285714286,65.28571428,166.71428572,241.428571429
1.142857143,8.285714286,65.28571428,166.71428572,241.428571429
1.142857143,8.285714286,65.28571428,166.71428572,241.428571429
2.285714286,16.857142857,154.857142864,296.000000011,470.000000018
2.285714286,16.857142857,154.857142864,296.000000011,470.000000018
2.285714286,16.857142857,154.857142864,296.000000011,470.000000018
2.285714286,16.857142857,154.857142864,296.000000011,470.000000018
2.285714286,16.857142857,154.857142864,296.000000011,470.000000018
2.285714286,16.857142857,154.857142864,296.000000011,470.000000018
2.285714286,16.857142857,154.857142864,296.000000011,470.000000018
1.714285714,14.428571428,128.428571439,201.571428563,346.142857144
1.714285714,14.428571428,128.428571439,201.571428563,346.142857144
1.714285714,14.428571428,128.428571439,201.571428563,346.142857144
1.714285714,14.428571428,128.428571439,201.571428563,346.142857144
1.714285714,14.428571428,128.428571439,201.571428563,346.142857144
1.714285714,14.428571428,128.428571439,201.571428563,346.142857144
1.714285714,14.428571428,128.428571439,201.571428563,346.142857144
0.857142857,9.714285714,86.714285721,119.714285704,216.999999996
0.857142857,9.714285714,86.714285721,119.714285704,216.999999996
0.857142857,9.714285714,86.714285721,119.714285704,216.999999996
0.857142857,9.714285714,86.714285721,119.714285704,216.999999996
0.857142857,9.714285714,86.714285721,119.714285704,216.999999996
0.857142857,9.714285714,86.714285721,119.714285704,216.999999996
0.857142857,9.714285714,86.714285721,119.714285704,216.999999996
1,6.857142857,50.857142859,70.428571423,129.142857139
1,6.857142857,50.857142859,70.428571423,129.142857139
1,6.857142857,50.857142859,70.428571423,129.142857139
1,6.857142857,50.857142859,70.428571423,129.142857139
1,6.857142857,50.857142859,70.428571423,129.142857139
1,6.857142857,50.857142859,70.428571423,129.142857139
1,6.857142857,50.857142859,70.428571423,129.142857139
0.428571429,5.142857143,32.571428574,45.000000001,83.142857147
0.428571429,5.142857143,32.571428574,45.000000001,83.142857147
0.428571429,5.142857143,32.571428574,45.000000001,83.142857147
0.428571429,5.142857143,32.571428574,45.000000001,83.142857147
0.428571429,5.142857143,32.571428574,45.000000001,83.142857147
0.428571429,5.142857143,32.571428574,45.000000001,83.142857147
