NbCI,NB_Classe,Method,Parametre_method_1,Parametre_method_2,accept_mcmc,reject_mcmc,fct_obj,nbr_evaluation,nbr_evaluation_aborted,temps,temps_CPU,delta_0,gamma_0,eps_0,r_0,x0_infect_0,beta0_0,beta1_0,beta2_0,beta3_0,beta4_0,beta5_0,beta6_0,delta_1,gamma_1,eps_1,r_1,x0_infect_1,beta0_1,beta1_1,beta2_1,beta3_1,beta4_1,beta5_1,beta6_1
0,2,MCMC,Metropolis,,0,0,5543699.643312730826437,1,0,0.000232839000000,0.000231293000000,0.329847405429951,0.618087169860325,0.854051219039490,0.104630838363138,0.000101859126874,0.061259238864760,0.019419265863924,0.064004706447514,0.027960807562101,0.041746543346574,0.044652776260550,0.053031224303849,0.550247911246027,0.152037797839400,0.791569617035572,0.061403256330062,0.000008590953061,0.051165710713029,0.002172598333536,0.037744027324699,0.060061160765073,0.066542741871000,0.057218077469995,0.001784365339070
0,2,MCMC,Metropolis,,10093,9906,4530667.428642345592380,20000,0,3.526588973000000,3.525290496000000,0.324821866291735,0.612122412541316,0.853879668180050,0.105078637607294,0.000101803406882,0.068541989351146,0.043133788317030,0.067742066299006,0.038756383635210,0.054766387628237,0.052746750131384,0.056288673735042,0.531684663238609,0.134412136779804,0.791533790416991,0.060928393424273,0.000008935538354,0.055363249460991,0.011308410488768,0.040067297139280,0.062937362466175,0.070565338212788,0.060522798073093,0.002638881036162
0,2,MCMC,Metropolis,,17250,22749,2537313.055955117102712,40000,0,7.093443732000001,7.091899474000000,0.313063659803628,0.602735957063882,0.853800052890658,0.104137532545042,0.000101750400015,0.088679969359352,0.067531347573953,0.078226814608005,0.063544081686245,0.084772693110202,0.076130742327055,0.066135447633023,0.481150192461328,0.087201503927844,0.791990787937207,0.062005510461787,0.000010623800256,0.066944985511286,0.032867810650859,0.048223864270582,0.073217755998706,0.084876324426100,0.070276136154261,0.010223162325423
0,2,MCMC,Metropolis,,19411,40588,2156728.235131368972361,60000,0,10.625377370000001,10.623578001000000,0.310514075227047,0.601683058237498,0.854828850914919,0.102616600920032,0.000102193323874,0.088701232180890,0.064759957652559,0.081394449009188,0.068665491389953,0.088739861509805,0.081504655195210,0.069394164376831,0.460496091820866,0.067760068292829,0.791752531828807,0.062176597889145,0.000011428924757,0.069444969474601,0.043026861033516,0.051487394349924,0.076361353002890,0.092028184596444,0.073675398689461,0.012330713644936
0,2,MCMC,Metropolis,,21551,58448,1983439.681297395844012,80000,0,14.178151995000000,14.175957651999999,0.310075720118609,0.601453335693792,0.853701253250745,0.102690508166759,0.000102140081803,0.088824220424908,0.063284010838064,0.082052922384073,0.068909716517185,0.089201209545641,0.082347621231957,0.071207575354393,0.449432996053949,0.056103392248220,0.792008242509141,0.061824001407040,0.000011738805187,0.071893934241122,0.047133049769507,0.052449675581941,0.078409803316493,0.094776699265157,0.075880681359747,0.013831642499346
0,2,MCMC,Metropolis,,23709,76290,1898545.575258792843670,100000,0,17.775472205000000,17.773205741000002,0.309495384131387,0.601361203905354,0.853767502040083,0.102717753339920,0.000102157298722,0.088780652725164,0.063147129298687,0.081757949739938,0.069152876017067,0.089073326055619,0.082356918836683,0.071549881874542,0.444040097493016,0.050081105577028,0.791916547490942,0.061744865240421,0.000011981323434,0.073270289310741,0.049481726683362,0.053613941505339,0.078987040961829,0.096665436543446,0.077218789635659,0.014203803069783
0,2,MCMC,Metropolis,,26000,93999,1852003.991770066320896,120000,0,21.342315986000003,21.339900590999999,0.309002038915734,0.601402063180169,0.853802379587350,0.102541940051080,0.000102150905072,0.088774199778256,0.062865316582920,0.081622173919767,0.069412053849318,0.088989528423688,0.082471261266701,0.071870880666890,0.440656704836114,0.046978303277766,0.792092619035640,0.061708414330503,0.000012003528270,0.073894581033891,0.050958271148823,0.054081783805240,0.079296684210500,0.097326309097069,0.077803761877290,0.014335852342749
0,2,MCMC,Metropolis,,28322,111677,1827126.758090168470517,140000,0,24.920406306000000,24.917754011000000,0.308864344485772,0.601408676303058,0.853724116428548,0.102665581542037,0.000102147238681,0.088782741725519,0.062698119174571,0.081698291000284,0.069446931756950,0.088877978793412,0.082611219446561,0.072084978993417,0.438967670212010,0.045158699248207,0.792028541281928,0.061762803909418,0.000012000039841,0.074277097515804,0.051631377406886,0.054128320736169,0.079514048024304,0.097846604044563,0.078216547392373,0.014400061205264
0,2,MCMC,Metropolis,,30883,129116,1812432.133500956930220,160000,0,28.529475697000002,28.526701715000002,0.308824454264969,0.601462169459669,0.853668630559844,0.102699833325406,0.000102152339877,0.088783332892377,0.062700242804569,0.081697359220338,0.069482294482262,0.088925152812309,0.082630363168689,0.072146112199835,0.437948824635413,0.044098174276853,0.791972421903980,0.061759173402737,0.000012036009207,0.074502383565477,0.052083706693410,0.054203443034526,0.079643429166819,0.098095870254431,0.078410516304518,0.014520213140688
0,2,MCMC,Metropolis,,33752,146247,1803789.003865373320878,180000,0,32.098783492999999,32.095906182000000,0.308780078625727,0.601475708760899,0.853669166890394,0.102679564600329,0.000102151492552,0.088789290203193,0.062625794855332,0.081724875627787,0.069477687160390,0.088898928388092,0.082690206646450,0.072204182833057,0.437348988757191,0.043515806483111,0.792000839911598,0.061786912426668,0.000012069008979,0.074652736150642,0.052368761802062,0.054252726276378,0.079763440973631,0.098255680824029,0.078545748311484,0.014606722191250
0,2,MCMC,Metropolis,,37003,162996,1797976.344389691948891,200000,0,35.792048143999999,35.789107430000001,0.308763099570655,0.601479321041311,0.853674889339976,0.102666618418828,0.000102155727699,0.088789826157496,0.062609644510006,0.081709821115709,0.069483422375758,0.088911731159429,0.082688592833505,0.072233418307140,0.436950618332496,0.043097402953107,0.792011758068753,0.061810261919153,0.000012072694795,0.074753035143943,0.052560746332228,0.054307129938230,0.079803376457928,0.098375116933190,0.078616129421872,0.014653864169849
0,2,MCMC,Metropolis,,40837,179162,1793602.023104661144316,220000,0,39.428248382000000,39.425180595000000,0.308756268330379,0.601461582354051,0.853658190984036,0.102659675060409,0.000102158429465,0.088789074248981,0.062595630697670,0.081709508743993,0.069483453896214,0.088929791225786,0.082720958287659,0.072287602515813,0.436661626219603,0.042776767599044,0.792010553493883,0.061830019165095,0.000012081589636,0.074809586785116,0.052703277879624,0.054338971548621,0.079820125113550,0.098476865686566,0.078672115237912,0.014729685537625
0,2,MCMC,Metropolis,,44971,195028,1789883.242372972890735,240000,0,43.030581536000000,43.027430318999997,0.308703772319144,0.601461913154623,0.853664293751473,0.102645645517728,0.000102153172931,0.088786792658829,0.062578034764324,0.081703386734124,0.069484334474433,0.088915739321843,0.082722167408633,0.072343445725181,0.436398759301469,0.042528530797127,0.792021290587655,0.061837340288125,0.000012092235862,0.074865843018729,0.052830010076698,0.054386875316085,0.079859659760528,0.098523005098378,0.078749386549773,0.014761597928392
0,2,MCMC,Metropolis,,49376,210623,1786399.023583560250700,260000,0,46.629384249000005,46.626161504999999,0.308684806447999,0.601479676440553,0.853665388763385,0.102651716026447,0.000102148195369,0.088789283868055,0.062559101178198,0.081709684057813,0.069452581558362,0.088911418967976,0.082730441836095,0.072382807807265,0.436156363979709,0.042284738834053,0.792033093333028,0.061846708896715,0.000012102073418,0.074917122999678,0.052940036412541,0.054401714039814,0.079902948069420,0.098591284313903,0.078811900223259,0.014783424557116
