0-65,8,25,129,523,1218,1012,681,411,267,173,138,88,60,58,34,23,19,22,11,9,18,25,35,50,51,63,45,71,100,183,291,374,523,621,736,780,630,569,530,418,436,494
65-inf,9,70,304,1167,2072,1411,838,493,315,217,155,117,89,79,48,28,15,10,12,14,15,21,37,52,86,60,36,49,106,221,358,473,710,1004,1236,1212,1073,934,798,718,750,911
