0-65,65-inf,all
0.857142857142854,11.8571428571429,12.7142857142857
0.857142857142854,11.8571428571429,12.7142857142857
0.857142857142854,11.8571428571429,12.7142857142857
0.857142857142854,11.8571428571429,12.7142857142857
0.857142857142876,11.8571428571427,12.7142857142855
1.42857142857145,19.8571428571428,21.2857142857142
1.42857142857145,19.8571428571428,21.2857142857142
1.42857142857145,19.8571428571428,21.2857142857142
1.42857142857145,19.8571428571428,21.2857142857142
1.42857142857145,19.8571428571428,21.2857142857142
1.42857142857145,19.8571428571428,21.2857142857142
1.4285714285713,19.8571428571433,21.2857142857146
1.42857142857143,24.7142857142856,26.142857142857
1.42857142857143,24.7142857142856,26.142857142857
1.42857142857143,24.7142857142856,26.142857142857
1.42857142857143,24.7142857142856,26.142857142857
1.42857142857143,24.7142857142856,26.142857142857
1.42857142857143,24.7142857142856,26.142857142857
1.4285714285714,24.7142857142867,26.1428571428581
1.71428571428571,45.1428571428571,46.8571428571428
1.71428571428571,45.1428571428571,46.8571428571428
1.71428571428571,45.1428571428571,46.8571428571428
1.71428571428571,45.1428571428571,46.8571428571428
1.71428571428571,45.1428571428571,46.8571428571428
1.71428571428571,45.1428571428571,46.8571428571428
1.71428571428575,45.1428571428573,46.8571428571431
2.14285714285714,59.8571428571429,62.0000000000001
2.14285714285714,59.8571428571429,62.0000000000001
2.14285714285714,59.8571428571429,62.0000000000001
2.14285714285714,59.8571428571429,62.0000000000001
2.14285714285714,59.8571428571429,62.0000000000001
2.14285714285714,59.8571428571429,62.0000000000001
2.14285714285715,59.8571428571423,61.9999999999995
2.85714285714285,77.8571428571429,80.7142857142857
2.85714285714285,77.8571428571429,80.7142857142857
2.85714285714285,77.8571428571429,80.7142857142857
2.85714285714285,77.8571428571429,80.7142857142857
2.85714285714285,77.8571428571429,80.7142857142857
2.85714285714285,77.8571428571429,80.7142857142857
2.85714285714289,77.8571428571427,80.7142857142856
3.42857142857141,64.4285714285713,67.8571428571427
3.42857142857141,64.4285714285713,67.8571428571427
3.42857142857141,64.4285714285713,67.8571428571427
3.42857142857141,64.4285714285713,67.8571428571427
3.42857142857142,64.4285714285713,67.8571428571427
3.42857142857142,64.4285714285713,67.8571428571427
3.42857142857152,64.4285714285724,67.8571428571439
2.85714285714285,57,59.8571428571429
2.85714285714285,57,59.8571428571429
2.85714285714285,57,59.8571428571429
2.85714285714285,57,59.8571428571429
2.85714285714285,57,59.8571428571429
2.85714285714285,57,59.8571428571429
2.85714285714291,56.9999999999997,59.8571428571426
2.14285714285714,55.4285714285717,57.5714285714288
2.14285714285714,55.4285714285717,57.5714285714288
2.14285714285712,55.4285714285717,57.5714285714288
2.14285714285712,55.4285714285717,57.5714285714288
2.14285714285712,55.4285714285717,57.5714285714288
2.14285714285712,55.4285714285717,57.5714285714288
2.14285714285724,55.4285714285699,57.5714285714272
2.99999999999999,45.1428571428569,48.1428571428569
2.99999999999999,45.1428571428569,48.1428571428569
2.99999999999999,45.1428571428569,48.1428571428569
2.99999999999999,45.1428571428569,48.1428571428569
2.99999999999999,45.1428571428569,48.1428571428569
2.99999999999999,45.1428571428569,48.1428571428569
3.00000000000006,45.1428571428587,48.1428571428588
2.71428571428572,53.4285714285716,56.1428571428572
2.71428571428572,53.4285714285716,56.1428571428572
2.71428571428572,53.4285714285716,56.1428571428572
2.71428571428572,53.4285714285716,56.1428571428572
2.71428571428572,53.4285714285716,56.1428571428572
2.71428571428572,53.4285714285716,56.1428571428572
