S_0,I_0,R_0,Q_0,D_0,Q_entry_0,D_entry_0,S_1,I_1,R_1,Q_1,D_1,Q_entry_1,D_entry_1,S_2,I_2,R_2,Q_2,D_2,Q_entry_2,D_entry_2,S_3,I_3,R_3,Q_3,D_3,Q_entry_3,D_entry_3,S_4,I_4,R_4,Q_4,D_4,Q_entry_4,D_entry_4,S_5,I_5,R_5,Q_5,D_5,Q_entry_5,D_entry_5,S_6,I_6,R_6,Q_6,D_6,Q_entry_6,D_entry_6,S_7,I_7,R_7,Q_7,D_7,Q_entry_7,D_entry_7
0.230718,5.38703e-05,0.000169985,3.63912e-08,1.57038e-08,9.37344e-09,3.3301e-09,0.262097,0.000818778,0.00178891,9.08709e-07,4.33382e-08,3.19228e-07,9.39814e-09,0.151704,3.33219e-06,8.04517e-05,1.26977e-05,0.000162515,1.9123e-06,5.23601e-06,0.130816,0.000109164,0.000300171,1.7116e-05,3.61528e-06,1.48684e-05,2.93254e-07,0.0481254,7.7189e-05,2.54962e-05,2.97215e-06,1.28195e-06,5.85064e-07,2.08917e-07,0.0467862,0.000255393,5.38436e-05,4.79073e-07,4.5547e-07,4.70403e-07,5.2259e-08,0.0445398,5.16123e-05,2.49884e-06,6.95915e-07,4.76006e-06,6.13635e-07,5.56579e-07,0.0811178,6.80126e-05,6.85815e-06,4.06909e-06,1.81489e-05,2.50549e-06,2.32599e-06
0.23068,6.07195e-05,0.000200992,4.16958e-08,1.95407e-08,1.05662e-08,3.83691e-09,0.261584,0.00095262,0.00216779,1.06464e-06,5.4385e-08,3.71747e-07,1.10468e-08,0.151704,2.18862e-06,8.20155e-05,8.80159e-06,0.000166178,1.25602e-06,3.66317e-06,0.130804,0.000100852,0.000321442,1.5813e-05,3.88621e-06,1.37365e-05,2.70932e-07,0.0481224,7.7225e-05,2.81625e-05,3.07112e-06,1.4995e-06,5.85338e-07,2.17555e-07,0.0467786,0.000257329,5.94967e-05,4.82707e-07,5.08126e-07,4.73971e-07,5.26556e-08,0.0445384,5.20894e-05,2.76718e-06,7.02349e-07,5.32179e-06,6.19308e-07,5.61725e-07,0.0811132,6.93345e-05,7.63501e-06,4.14838e-06,2.05204e-05,2.5542e-06,2.37149e-06
0.230637,6.84326e-05,0.000235942,4.75768e-08,2.39369e-08,1.19096e-08,4.3962e-09,0.260988,0.00110717,0.0026086,1.2443e-06,6.73273e-08,4.32515e-07,1.29423e-08,0.151704,1.43751e-06,8.30968e-05,6.05531e-06,0.000168717,8.2497e-07,2.53919e-06,0.130793,9.31725e-05,0.000341093,1.4609e-05,4.13652e-06,1.26906e-05,2.50307e-07,0.0481194,7.72609e-05,3.08389e-05,3.15417e-06,1.7243e-06,5.85612e-07,2.248e-07,0.0467709,0.000259278,6.51926e-05,4.86366e-07,5.61181e-07,4.77564e-07,5.3055e-08,0.0445371,5.25709e-05,3.038e-06,7.08842e-07,5.8887e-06,6.25033e-07,5.66918e-07,0.0811086,7.06819e-05,8.42698e-06,4.22909e-06,2.29381e-05,2.60384e-06,2.4177e-06
0.230589,7.71166e-05,0.000275331,5.41205e-08,2.89531e-08,1.34225e-08,5.01627e-09,0.260298,0.00128522,0.00312093,1.45146e-06,8.24537e-08,5.02686e-07,1.51264e-08,0.151704,9.44177e-07,8.38392e-05,4.14021e-06,0.000170464,5.41851e-07,1.74691e-06,0.130783,8.60765e-05,0.000359249,1.34965e-05,4.36777e-06,1.17242e-05,2.31248e-07,0.0481164,7.72966e-05,3.35239e-05,3.2239e-06,1.95518e-06,5.85884e-07,2.30879e-07,0.0467631,0.000261241,7.09317e-05,4.90051e-07,6.14638e-07,4.81182e-07,5.34572e-08,0.0445358,5.30568e-05,3.31132e-06,7.15394e-07,6.46086e-06,6.30811e-07,5.72159e-07,0.0811039,7.20551e-05,9.23433e-06,4.3113e-06,2.54028e-05,2.65444e-06,2.46473e-06
0.230535,8.68913e-05,0.000319718,6.14212e-08,3.46593e-08,1.51257e-08,5.70619e-09,0.259498,0.00148979,0.00371565,1.69026e-06,1.00099e-07,5.83525e-07,1.76448e-08,0.151704,6.20148e-07,8.43459e-05,2.81621e-06,0.000171658,3.55894e-07,1.19442e-06,0.130774,7.95202e-05,0.000376021,1.24687e-05,4.58141e-06,1.08312e-05,2.13639e-07,0.0481133,7.73322e-05,3.62163e-05,3.28249e-06,2.19116e-06,5.86154e-07,2.35983e-07,0.0467553,0.000263218,7.67142e-05,4.93761e-07,6.685e-07,4.84824e-07,5.38622e-08,0.0445344,5.35471e-05,3.58717e-06,7.22006e-07,7.03831e-06,6.36641e-07,5.77448e-07,0.0810991,7.34547e-05,1.00574e-05,4.39509e-06,2.79155e-05,2.70601e-06,2.51265e-06
0.230474,9.78906e-05,0.000369732,6.95837e-08,4.11353e-08,1.7043e-08,6.47595e-09,0.258574,0.00172406,0.00440504,1.96522e-06,1.20646e-07,6.76402e-07,2.05478e-08,0.151704,4.07321e-07,8.46901e-05,1.90729e-06,0.000172471,2.33756e-07,8.12454e-07,0.130765,7.34626e-05,0.000391517,1.1519e-05,4.77878e-06,1.00062e-05,1.97369e-07,0.0481103,7.73675e-05,3.89151e-05,3.33176e-06,2.43143e-06,5.86424e-07,2.40272e-07,0.0467474,0.000265208,8.25405e-05,4.97497e-07,7.2277e-07,4.88492e-07,5.427e-08,0.0445331,5.4042e-05,3.86557e-06,7.28679e-07,7.6211e-06,6.42525e-07,5.82785e-07,0.0810941,7.48813e-05,1.08964e-05,4.48048e-06,3.04769e-05,2.75858e-06,2.56148e-06
0.230405,0.000110264,0.000426077,7.87234e-08,4.84718e-08,1.92004e-08,7.33656e-09,0.257509,0.00199137,0.00520284,2.28125e-06,1.44537e-07,7.8277e-07,2.38904e-08,0.151704,2.67533e-07,8.49229e-05,1.28694e-06,0.000173021,1.53534e-07,5.50237e-07,0.130757,6.7866e-05,0.000405832,1.06415e-05,4.96111e-06,9.24401e-06,1.82336e-07,0.0481073,7.74027e-05,4.16195e-05,3.37324e-06,2.67531e-06,5.86692e-07,2.43878e-07,0.0467395,0.000267212,8.84109e-05,5.01258e-07,7.77451e-07,4.92186e-07,5.46805e-08,0.0445317,5.45413e-05,4.14654e-06,7.35413e-07,8.20927e-06,6.48462e-07,5.88171e-07,0.0810891,7.63352e-05,1.17517e-05,4.5675e-06,3.30882e-05,2.81215e-06,2.61124e-06
0.230328,0.000124178,0.000489544,8.89685e-08,5.6772e-08,2.16273e-08,8.3002e-09,0.256283,0.00229505,0.00612433,2.64358e-06,1.72269e-07,9.04135e-07,2.77322e-08,0.151704,1.75719e-07,8.50798e-05,8.65604e-07,0.000173392,1.00843e-07,3.71271e-07,0.130749,6.26952e-05,0.000419056,9.8308e-06,5.12956e-06,8.53977e-06,1.68446e-07,0.0481043,7.74377e-05,4.43287e-05,3.4082e-06,2.92223e-06,5.86959e-07,2.46914e-07,0.0467315,0.000269229,9.43256e-05,5.05045e-07,8.32545e-07,4.95904e-07,5.5094e-08,0.0445303,5.50453e-05,4.43011e-06,7.42208e-07,8.80287e-06,6.54454e-07,5.93606e-07,0.081084,7.78171e-05,1.26237e-05,4.6562e-06,3.57501e-05,2.86675e-06,2.66196e-06
0.230241,0.000139819,0.00056102,1.00462e-07,6.61524e-08,2.43565e-08,9.3804e-09,0.254878,0.00263833,0.00718635,3.05774e-06,2.04406e-07,1.04202e-06,3.21369e-08,0.151704,1.15415e-07,8.51853e-05,5.80619e-07,0.000173642,6.62349e-08,2.4972e-07,0.130743,5.79181e-05,0.000431273,9.0818e-06,5.28517e-06,7.88912e-06,1.55613e-07,0.0481012,7.74725e-05,4.70422e-05,3.4377e-06,3.1717e-06,5.87224e-07,2.49473e-07,0.0467234,0.000271261,0.000100285,5.08859e-07,8.88055e-07,4.99649e-07,5.55102e-08,0.0445289,5.55538e-05,4.71629e-06,7.49066e-07,9.40196e-06,6.60501e-07,5.99091e-07,0.0810788,7.93274e-05,1.35125e-05,4.7466e-06,3.84638e-05,2.9224e-06,2.71366e-06
0.230143,0.000157393,0.000641499,1.13361e-07,7.67446e-08,2.74243e-08,1.05922e-08,0.25327,0.00302408,0.00840723,3.5294e-06,2.41577e-07,1.19787e-06,3.71717e-08,0.151704,7.58057e-08,8.5256e-05,3.88536e-07,0.000173809,4.35039e-08,1.67504e-07,0.130736,5.35046e-05,0.000442559,8.3898e-06,5.42893e-06,7.288e-06,1.43757e-07,0.0480982,7.75072e-05,4.97594e-05,3.46264e-06,3.42333e-06,5.87488e-07,2.51633e-07,0.0467153,0.000273306,0.000106289,5.12699e-07,9.43984e-07,5.03419e-07,5.59294e-08,0.0445275,5.6067e-05,5.00513e-06,7.55987e-07,1.00066e-05,6.66603e-07,6.04627e-07,0.0810735,8.08666e-05,1.44187e-05,4.83874e-06,4.12301e-05,2.97912e-06,2.76634e-06
