0-20,20-40,40-50,50-60,60-65,65-70,70-75,75-inf,total
0,0.285714286,0.142857143,0.428571429,0.285714286,0.142857143,0.142857143,1.000000001,2.428571431
0,0.285714286,0.142857143,0.428571429,0.285714286,0.142857143,0.142857143,1.000000001,2.428571431
0,0.285714286,0.142857143,0.428571429,0.285714286,0.142857143,0.142857143,1.000000001,2.428571431
0,0.285714286,0.142857143,0.428571429,0.285714286,0.142857143,0.142857143,1.000000001,2.428571431
0,0.285714286,0.142857143,0.428571429,0.285714286,0.142857143,0.142857143,1.000000001,2.428571431
0,0.285714286,0.142857143,0.428571429,0.285714286,0.142857143,0.142857143,1.000000001,2.428571431
0,0.285714286,0.142857143,0.428571429,0.285714286,0.142857143,0.142857143,1.000000001,2.428571431
0,0.142857143,0.857142857,1.285714286,1.285714286,2,1.857142857,6.142857144,13.571428573
0,0.142857143,0.857142857,1.285714286,1.285714286,2,1.857142857,6.142857144,13.571428573
0,0.142857143,0.857142857,1.285714286,1.285714286,2,1.857142857,6.142857144,13.571428573
0,0.142857143,0.857142857,1.285714286,1.285714286,2,1.857142857,6.142857144,13.571428573
0,0.142857143,0.857142857,1.285714286,1.285714286,2,1.857142857,6.142857144,13.571428573
0,0.142857143,0.857142857,1.285714286,1.285714286,2,1.857142857,6.142857144,13.571428573
0,0.142857143,0.857142857,1.285714286,1.285714286,2,1.857142857,6.142857144,13.571428573
0.871227364,1.597250168,3.339704896,8.567069081,4.356136821,7.695841717,8.42186452,27.008048291,61.857142858
0.871227364,1.597250168,3.339704896,8.567069081,4.356136821,7.695841717,8.42186452,27.008048291,61.857142858
0.871227364,1.597250168,3.339704896,8.567069081,4.356136821,7.695841717,8.42186452,27.008048291,61.857142858
0.871227364,1.597250168,3.339704896,8.567069081,4.356136821,7.695841717,8.42186452,27.008048291,61.857142858
0.871227364,1.597250168,3.339704896,8.567069081,4.356136821,7.695841717,8.42186452,27.008048291,61.857142858
0.871227364,1.597250168,3.339704896,8.567069081,4.356136821,7.695841717,8.42186452,27.008048291,61.857142858
0.871227364,1.597250168,3.339704896,8.567069081,4.356136821,7.695841717,8.42186452,27.008048291,61.857142858
1.142857143,8.285714286,12,34.57142857,18.71428571,30.14285714,35.28571429,101.28571429,241.428571429
1.142857143,8.285714286,12,34.57142857,18.71428571,30.14285714,35.28571429,101.28571429,241.428571429
1.142857143,8.285714286,12,34.57142857,18.71428571,30.14285714,35.28571429,101.28571429,241.428571429
1.142857143,8.285714286,12,34.57142857,18.71428571,30.14285714,35.28571429,101.28571429,241.428571429
1.142857143,8.285714286,12,34.57142857,18.71428571,30.14285714,35.28571429,101.28571429,241.428571429
1.142857143,8.285714286,12,34.57142857,18.71428571,30.14285714,35.28571429,101.28571429,241.428571429
1.142857143,8.285714286,12,34.57142857,18.71428571,30.14285714,35.28571429,101.28571429,241.428571429
2.285714286,16.857142857,27.142857144,78.14285715,49.57142857,54.85714286,77.42857143,163.714285721,470.000000018
2.285714286,16.857142857,27.142857144,78.14285715,49.57142857,54.85714286,77.42857143,163.714285721,470.000000018
2.285714286,16.857142857,27.142857144,78.14285715,49.57142857,54.85714286,77.42857143,163.714285721,470.000000018
2.285714286,16.857142857,27.142857144,78.14285715,49.57142857,54.85714286,77.42857143,163.714285721,470.000000018
2.285714286,16.857142857,27.142857144,78.14285715,49.57142857,54.85714286,77.42857143,163.714285721,470.000000018
2.285714286,16.857142857,27.142857144,78.14285715,49.57142857,54.85714286,77.42857143,163.714285721,470.000000018
2.285714286,16.857142857,27.142857144,78.14285715,49.57142857,54.85714286,77.42857143,163.714285721,470.000000018
1.714285714,14.428571428,25.428571429,57.71428572,45.28571429,42.14285714,51.14285714,108.285714283,346.142857144
1.714285714,14.428571428,25.428571429,57.71428572,45.28571429,42.14285714,51.14285714,108.285714283,346.142857144
1.714285714,14.428571428,25.428571429,57.71428572,45.28571429,42.14285714,51.14285714,108.285714283,346.142857144
1.714285714,14.428571428,25.428571429,57.71428572,45.28571429,42.14285714,51.14285714,108.285714283,346.142857144
1.714285714,14.428571428,25.428571429,57.71428572,45.28571429,42.14285714,51.14285714,108.285714283,346.142857144
1.714285714,14.428571428,25.428571429,57.71428572,45.28571429,42.14285714,51.14285714,108.285714283,346.142857144
