NbCI,NB_Classe,Method,Parametre_method_1,Parametre_method_2,accept_mcmc,reject_mcmc,fct_obj,nbr_evaluation,nbr_evaluation_aborted,temps,temps_CPU,delta_0,gamma_0,eps_0,r_0,x0_infect_0,beta0_0,beta1_0,beta2_0,beta3_0,beta4_0,beta5_0,beta6_0,delta_1,gamma_1,eps_1,r_1,x0_infect_1,beta0_1,beta1_1,beta2_1,beta3_1,beta4_1,beta5_1,beta6_1,delta_2,gamma_2,eps_2,r_2,x0_infect_2,beta0_2,beta1_2,beta2_2,beta3_2,beta4_2,beta5_2,beta6_2,delta_3,gamma_3,eps_3,r_3,x0_infect_3,beta0_3,beta1_3,beta2_3,beta3_3,beta4_3,beta5_3,beta6_3
0,4,MCMC,Metropolis,,0,0,8289846.711516209878027,1,0,0.000464398000000,0.000462608000000,0.955136577646369,0.027845403420935,0.428014000063781,0.040319900029297,0.000154152391014,0.007685490147850,0.022104765854998,0.027901292364973,0.023663046980726,0.033864199254744,0.004570445630144,0.022742726932545,0.628166582507175,0.246974257389053,0.451425356741278,0.048721604607411,0.000080794848594,0.027847706169223,0.034390577292105,0.041859067381386,0.009561236942908,0.039532397887830,0.043672352879304,0.051021307756749,0.865927121551406,0.053671221302776,0.870370723435320,0.040144018559308,0.000242309801009,0.057269645475913,0.018710563848113,0.045185036145351,0.048701822399990,0.036794541494670,0.041180245666079,0.020145205207410,0.915065650967876,0.072884124070842,0.496968712835871,0.205812927850832,0.000187781733585,0.012285471638579,0.016376606909552,0.035203741766454,0.035703404822521,0.061511357654684,0.033026140233120,0.001660206638420
0,4,MCMC,Metropolis,,2487,17512,8184234.195889750495553,20000,0,7.594078713000000,7.586901665000000,0.954887272532840,0.027755404219238,0.427960456081573,0.040511933661155,0.000154113173099,0.007728760482359,0.022300827318750,0.027982382653878,0.023566569564958,0.033767563102947,0.004599481292271,0.022583380477919,0.628068476184715,0.246545497706718,0.451298711385714,0.048721886401081,0.000080770385726,0.028061866725801,0.034685772602882,0.041851508090197,0.009629095655028,0.039831906912096,0.043494262567942,0.050832245708452,0.864096319271623,0.052038333940332,0.870251258814713,0.040147425006722,0.000242362728640,0.058099585967645,0.021390105087530,0.045626476086718,0.049538783851448,0.038206566199066,0.042028340101104,0.020552375307879,0.914942995214299,0.073030777278965,0.496111243743907,0.204804416365730,0.000187769271178,0.013985194832471,0.017470229345277,0.035124984774589,0.035498715893600,0.061335288421656,0.032661520359179,0.000000379780210
0,4,MCMC,Metropolis,,4551,35448,8142415.379692538641393,40000,0,15.030366342000001,15.020146495000001,0.954899288630897,0.027610464709580,0.427889501284008,0.040616737682112,0.000154104920959,0.007810259050875,0.022424068604566,0.027970567551220,0.023690133691688,0.033781662079187,0.004838343675841,0.022608911143811,0.627919328882355,0.246499868769127,0.451366837463547,0.048794138910726,0.000080731604170,0.028114459671141,0.034653933957034,0.041840593385937,0.009816422417426,0.039878299288213,0.043544806309028,0.050897528627083,0.863256234277578,0.051217808496986,0.870268638785553,0.040134771971977,0.000242355426291,0.058487037811697,0.022650844902665,0.045728153646389,0.049790481217037,0.038786686335276,0.042603912964448,0.020798378178139,0.915149097507541,0.073084552974783,0.495670968906621,0.204269089106882,0.000187752585949,0.014881141259606,0.017885604912619,0.035187730397494,0.035492539281936,0.061241469419204,0.032474563148242,0.000001860298488
0,4,MCMC,Metropolis,,6719,53280,8120375.897994283586740,60000,0,22.490859633000003,22.479948632999999,0.954825705020002,0.027516133399110,0.427935558448457,0.040655398981409,0.000154099808058,0.007885099632718,0.022419854323030,0.027967512436515,0.023719513983547,0.033782940604256,0.004957777470313,0.022580217687843,0.627856118035586,0.246421943550310,0.451421454638759,0.048806151182453,0.000080707018179,0.028127378490002,0.034696216748391,0.041856945055500,0.009815188253714,0.039937377292426,0.043611322977944,0.050957475205137,0.862843668889415,0.050770599985536,0.870283374947413,0.040119047457286,0.000242369239826,0.058643600688442,0.023325579116175,0.045825538167645,0.049984250026779,0.039182844922004,0.042809660305444,0.020894638949733,0.915176809705298,0.073212240285369,0.495456829819631,0.204029574447093,0.000187764714504,0.015331280387740,0.018188742570929,0.035185903402545,0.035432912656677,0.061253207873637,0.032363499820000,0.000000830974723
0,4,MCMC,Metropolis,,9113,70886,8108665.938744885846972,80000,0,29.973647441000001,29.961719093999999,0.954827628632945,0.027504590441950,0.427937853509525,0.040645564658062,0.000154091172536,0.007900795201386,0.022425003858139,0.027996772762321,0.023727692175981,0.033792376707482,0.004950631018957,0.022588782945378,0.627835827141950,0.246402214021146,0.451438668489588,0.048813531579651,0.000080712622600,0.028134435108974,0.034718488411373,0.041883475705565,0.009823115224826,0.039948208288746,0.043620675067661,0.050963584885319,0.862625782442045,0.050526771279934,0.870292668749241,0.040139825416915,0.000242373184459,0.058714822163515,0.023666557213984,0.045913591647539,0.050045846273560,0.039382360844324,0.042955652964622,0.020974180427041,0.915225536841026,0.073252723544348,0.495310364939056,0.203892760179882,0.000187769518900,0.015600608020428,0.018363423187597,0.035211458726275,0.035391939981251,0.061220518577686,0.032303487903216,0.000000775063957
0,4,MCMC,Metropolis,,11938,88061,8101324.101923450827599,100000,0,37.371573249000001,37.359051254999997,0.954823540153866,0.027489059179727,0.427929585863546,0.040633156835038,0.000154091349776,0.007917848649972,0.022437400558131,0.028017342397015,0.023724336530480,0.033810062959577,0.004978837052291,0.022594123378711,0.627819854620236,0.246367827695154,0.451446981580894,0.048821994974755,0.000080713694272,0.028132864168402,0.034734062748317,0.041887910492286,0.009823443086236,0.039958869033761,0.043632948487624,0.050950659555955,0.862486480906180,0.050360255881384,0.870278759934542,0.040138554464114,0.000242371869196,0.058771098176435,0.023892835004527,0.045970222788289,0.050117022813939,0.039524625328714,0.043029703311016,0.021007718453018,0.915246872156934,0.073283144527033,0.495239752414486,0.203810220319104,0.000187771080912,0.015737557915854,0.018462805182668,0.035204313385244,0.035389011689252,0.061212859175914,0.032276955170017,0.000000358239643
0,4,MCMC,Metropolis,,15253,104746,8096480.459041190333664,120000,0,44.788530106000003,44.774530826000003,0.954810272652286,0.027472876139104,0.427926046660000,0.040623057067072,0.000154092062364,0.007917090480542,0.022450265738374,0.028023412558181,0.023741254380626,0.033815280493293,0.004984115149977,0.022588646510420,0.627804717250846,0.246364251960806,0.451455384800765,0.048828175597659,0.000080710852676,0.028134678819823,0.034745085654226,0.041890151939287,0.009825204609607,0.039966193141501,0.043645975132656,0.050940424281935,0.862379240971105,0.050261370001877,0.870271516795044,0.040130160663243,0.000242372315296,0.058800676363588,0.024046811200601,0.045996157605163,0.050152930339787,0.039604382592953,0.043075613657249,0.021040817300123,0.915268130100918,0.073297010018939,0.495176280210460,0.203766251619034,0.000187773587262,0.015838394226467,0.018525422369435,0.035209193450700,0.035393295244084,0.061209620024813,0.032251575465416,0.000000198916862
0,4,MCMC,Metropolis,,19087,120912,8092575.723451006226242,140000,0,52.221497200000002,52.205409924000001,0.954790685278165,0.027459805443912,0.427930210033006,0.040623982240709,0.000154090546688,0.007925240429438,0.022457812200170,0.028034430055460,0.023742380717911,0.033817196563505,0.004999102068502,0.022589883707998,0.627796690062157,0.246350660401581,0.451440419974602,0.048831377834311,0.000080710914411,0.028135517296360,0.034762557162821,0.041887836841718,0.009834238047623,0.039967269794695,0.043650530443610,0.050944281159222,0.862294873377142,0.050185115065627,0.870279188834598,0.040128742212083,0.000242374315725,0.058834920570834,0.024167556589709,0.046020224827334,0.050177861635455,0.039671413163550,0.043116222246437,0.021057834303032,0.915281310499830,0.073312943709381,0.495133244797110,0.203716385585279,0.000187774632187,0.015913192290931,0.018582730855011,0.035214640949211,0.035393550225689,0.061210973178582,0.032226067552045,0.000000252993192
0,4,MCMC,Metropolis,,23103,136896,8089063.491863561794162,160000,0,59.723256823000007,59.705875313999996,0.954772521637267,0.027452326649680,0.427935140357661,0.040623836822968,0.000154091034157,0.007934438242115,0.022460405656003,0.028039486274813,0.023743345733575,0.033807505179763,0.005016048509760,0.022581039896101,0.627788373286219,0.246336872254026,0.451442714729285,0.048822314688121,0.000080711743260,0.028134121728772,0.034763024382255,0.041887663577359,0.009857753634548,0.039976303462674,0.043649828762842,0.050933973150216,0.862233922183203,0.050111903574582,0.870276963993517,0.040120740062898,0.000242374697075,0.058869887252780,0.024269057922197,0.046048404960958,0.050206138559463,0.039737411673774,0.043156332626790,0.021082392464699,0.915295741994643,0.073319121537489,0.495082951363979,0.203664811562903,0.000187774844904,0.015980742607479,0.018627140071601,0.035219743912628,0.035388169582211,0.061196780586657,0.032204149901487,0.000000093404673
0,4,MCMC,Metropolis,,26878,153121,8085510.202000756748021,180000,0,67.184054165000006,67.157076343000000,0.954771001151954,0.027438550000104,0.427940565381627,0.040628827452896,0.000154089230659,0.007942552165134,0.022467281246929,0.028036448717301,0.023743571003670,0.033813047680203,0.005034979731784,0.022578752800124,0.627782661335278,0.246326186827808,0.451438192786121,0.048828849281386,0.000080713407363,0.028145396666904,0.034776661314238,0.041893027785082,0.009866496871070,0.039985422854491,0.043639058134527,0.050937267019918,0.862152957728774,0.050048204957722,0.870288760367948,0.040131869407840,0.000242376772557,0.058898433252904,0.024366997566071,0.046073887724280,0.050244626379616,0.039797115127909,0.043181182465057,0.021098934881009,0.915298026540418,0.073340066646499,0.495044211663859,0.203617926780913,0.000187776411137,0.016052870304667,0.018677195512956,0.035209152827002,0.035389485765279,0.061191508297175,0.032197676497012,0.000000109636654
